"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,4,13,4,1,154
2014-11-04,12,47,93,10,953
2014-11-05,8,27,55,6,309
2014-11-06,1,4,10,,24
2014-11-07,,,,,
2014-11-08,5,9,1,1,64
2014-11-09,28,54,16,16,911
2014-11-10,40,116,149,35,3258
2014-11-11,34,132,113,35,2570
2014-11-12,12,58,64,12,616
2014-11-13,5,13,18,3,145
2014-11-14,2,32,42,3,333
2014-11-15,92,456,437,65,14764
2014-11-16,14,28,62,10,826
2014-11-17,12,57,110,8,691
2014-11-18,1,1,2,2,62
2014-11-19,,,1,,16
2014-11-20,,,,,5
2014-11-21,,,,,4
2014-11-22,,1,,,5
2014-11-23,,,,,1
2014-11-24,,,,,2
2014-11-25,,,,,9
2014-11-26,,1,2,,3
2014-11-27,10,23,53,7,353
2014-11-28,4,26,64,4,257
2014-11-29,5,5,23,3,113
2014-11-30,3,10,35,1,138
2014-12-01,5,8,30,2,219
2014-12-02,,1,,,7
