"date","Emergency","Places","Outside_Places","Institution","Media","Weather","Mobility","others","Social_Media","Time"
2014-11-03,200,95,8,3,0,22,9,11,0,0
2014-11-04,1278,545,58,3,2,28,0,92,0,1
2014-11-05,466,301,32,2,0,8,0,8,0,0
2014-11-06,41,35,12,0,0,0,0,16,0,0
2014-11-07,,,,,,,,,,
2014-11-08,90,14,0,7,0,15,0,4,0,0
2014-11-09,1235,567,35,7,0,29,3,50,0,1
2014-11-10,4449,2720,414,31,21,97,44,179,0,0
2014-11-11,3478,2136,302,47,14,197,7,183,8,0
2014-11-12,870,357,34,30,0,44,15,83,0,0
2014-11-13,223,66,6,5,0,26,0,26,1,0
2014-11-14,548,198,21,4,4,28,3,55,0,1
2014-11-15,20156,13561,617,151,68,1625,182,1315,18,1
2014-11-16,1289,663,32,31,11,127,26,272,1,2
2014-11-17,1124,381,30,38,6,123,63,175,0,6
2014-11-18,92,44,2,1,1,14,3,23,0,0
2014-11-19,24,9,0,2,1,3,0,8,0,0
2014-11-20,5,2,0,0,0,0,0,1,0,0
2014-11-21,5,2,0,0,0,0,0,0,0,0
2014-11-22,9,7,0,0,0,2,0,0,0,0
2014-11-23,2,1,0,0,0,0,0,0,0,0
2014-11-24,2,2,0,0,0,0,0,0,0,0
2014-11-25,9,2,0,0,0,0,0,0,0,0
2014-11-26,6,5,0,0,0,0,0,0,0,0
2014-11-27,584,251,0,7,3,28,4,24,1,0
2014-11-28,443,138,21,5,0,17,24,19,0,1
2014-11-29,168,45,3,2,0,1,0,3,0,0
2014-11-30,225,67,5,3,0,2,0,11,0,0
2014-12-01,322,133,3,15,0,31,0,29,0,0
2014-12-02,10,6,0,0,0,1,0,0,0,0
