"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,6,31,24,14,91
2014-11-04,36,138,299,58,700
2014-11-05,31,26,138,54,220
2014-11-06,1,2,3,0,22
2014-11-07,,,,,
2014-11-08,21,13,0,9,27
2014-11-09,316,94,90,16,529
2014-11-10,286,453,771,126,2551
2014-11-11,188,364,366,68,1923
2014-11-12,66,77,117,13,480
2014-11-13,30,17,31,10,91
2014-11-14,21,58,64,10,214
2014-11-15,914,1343,1486,546,14280
2014-11-16,110,69,183,42,694
2014-11-17,36,95,95,46,574
2014-11-18,11,2,5,6,35
2014-11-19,1,0,0,0,11
2014-11-20,0,1,0,0,3
2014-11-21,0,0,0,0,4
2014-11-22,0,1,0,0,9
2014-11-23,0,0,0,0,2
2014-11-24,0,0,2,0,3
2014-11-25,0,0,0,0,3
2014-11-26,0,0,2,0,3
2014-11-27,73,31,84,39,235
2014-11-28,26,36,70,24,170
2014-11-29,21,5,11,2,83
2014-11-30,15,17,14,10,125
2014-12-01,9,0,52,14,175
2014-12-02,1,0,1,1,4
