"","authors","freq","cat"
"1","muoversintoscan",426,"Institution"
"2","amtoscana",358,"Weather"
"3","Ossmeteobargone",67,"Weather"
"4","iltirreno",66,"Media"
"5","flash_meteo",50,"Weather"
"6","cesipcrosignano",40,"Institution"
"7","valenitna",32,"others"
"8","MoniShantiRani",31,"others"
"9","ProtCMontignoso",30,"Institution"
"10","RadioPerusia",30,"Media"
"11","0Zenzy",29,"others"
"12","ValenCaffieri",28,"others"
"13","SalaOp",27,"Institution"
"14","Ba_Bars",26,"others"
"15","ProvinciaMS",26,"Institution"
"16","Prov_FI_PC",25,"Institution"
"17","CapitanAchab",22,"others"
"18","andlazz",19,"others"
"19","m_nanny",19,"others"
"20","misepferraio",19,"Volunteer_NGO"
"21","Miti_Vigliero",18,"others"
"22","tildeblonde",18,"others"
"23","turiniale",18,"others"
"24","Protcivnews",17,"Media"
"25","landucci_v",16,"others"
"26","toscanamedianew",16,"Media"
"27","fbrancoli",15,"others"
"28","MiseSPPalazzi",15,"Volunteer_NGO"
"29","Prociv_Mont",15,"Institution"
"30","TirrenoVersilia",15,"Media"
"31","ERA_Arenzano",14,"others"
"32","geoluc_mei",14,"others"
"33","ProCivSeravezza",14,"Institution"
"34","3BMeteo",13,"Weather"
"35","giornaleprociv",13,"Media"
"36","wwwmeteoit",13,"Weather"
"37","ComuneRioElba",12,"Institution"
"38","elisabettagio10",12,"others"
"39","ilariolarosageo",12,"others"
"40","intoscana",12,"Media"
"41","massimobraglia2",12,"others"
"42","AgorLerici",11,"others"
"43","CostantiniGenny",11,"others"
"44","cristianomeoni",11,"others"
"45","Gabrigc02",11,"others"
"46","ProtCivComuneFi",11,"Institution"
"47","bacci7_bacci",10,"others"
"48","robertore62",10,"others"
"49","SilverioMadonna",10,"others"
"50","agenziaimpress",9,"Media"
"51","qn_lanazione",9,"Media"
"52","alemaggiani",8,"others"
"53","annabelladellac",8,"others"
"54","ComuneRosignano",8,"Institution"
"55","Emergenza24Pro",8,"Volunteer_NGO"
"56","GiovannaMezzana",8,"others"
"57","JeMalaussene",8,"others"
"58","lapaginaQ",8,"Media"
"59","mikele04108414",8,"others"
"60","montevarchi",8,"Institution"
"61","agente00fette1",7,"others"
"62","Anpasnazionale",7,"Volunteer_NGO"
"63","ansa_liguria",7,"Media"
"64","Bluelake76",7,"others"
"65","Bluelba",7,"others"
"66","Claudia77cla",7,"others"
"67","Comune_Pistoia",7,"Institution"
"68","DariaVampy",7,"others"
"69","EmpoliValdelsa",7,"Institution"
"70","gardenrosesSB",7,"others"
"71","irenestorti1",7,"others"
"72","manola2710",7,"others"
"73","marinamyname",7,"others"
"74","matteotuccini",7,"others"
"75","pratosmart",7,"others"
"76","alf_crisci",6,"others"
"77","AllertaMeteoIT",6,"Weather"
"78","AllertaMeteoLIG",6,"Weather"
"79","ComuneCamaiore",6,"Institution"
"80","elbameteo",6,"Weather"
"81","ilnesi",6,"others"
"82","marcogatti23",6,"others"
"83","MarcoRamanzini",6,"others"
"84","MariaAdeleNari",6,"others"
"85","marziofatucchi",6,"others"
"86","MeloniSimone",6,"others"
"87","PardiniAlex",6,"others"
"88","seneca4949",6,"others"
"89","StaserasolounTG",6,"others"
"90","Valentina7411",6,"others"
"91","bogazzi",5,"others"
"92","CastelloNews",5,"Media"
"93","cisomgenova",5,"Volunteer_NGO"
"94","ContattoRadio",5,"Media"
"95","EMIC_Gagliardi",5,"others"
"96","fabiofagorzi",5,"others"
"97","GasperiniLuca",5,"others"
"98","giaguaro73",5,"others"
"99","IlariaBonuccell",5,"others"
"100","IlTirrenoElba",5,"Media"
"101","italia_sicura",5,"Institution"
"102","jeperego",5,"others"
"103","Lequazione",5,"others"
"104","Micky_Milito",5,"others"
"105","mimidef",5,"others"
"106","Orchestra_Unipi",5,"others"
"107","riskiomap",5,"others"
"108","rondyne",5,"others"
"109","SimoneStefanins",5,"others"
"110","Transamerika90",5,"others"
"111","TwitAltopascio",5,"Institution"
"112","ZanellaRina",5,"others"
"113","_garibaldi_",4,"others"
"114","ale_iorfida",4,"others"
"115","AlfredoFaetti",4,"others"
"116","Annathelion",4,"others"
"117","armido",4,"others"
"118","ArrigoPierotti",4,"others"
