"","hashtag","freq","cat"
"1","#allertameteolig",29957,"Emergency"
"2","#genova",5707,"Places"
"3","#chiavari",2102,"Places"
"4","#alluvionegenova",1567,"Emergency"
"5","#allerta2",1130,"Emergency"
"6","#liguria",1020,"Places"
"7","#polcevera",662,"Places"
"8","#alluvione",629,"Emergency"
"9","#voltri",550,"Places"
"10","#maltempo",533,"Weather"
"11","#albenga",464,"Places"
"12","#alluvioneliguria",450,"Emergency"
"13","#allertameteogenova",426,"Emergency"
"14","#alluvionechiavari",409,"Emergency"
"15","#cerusa",400,"Places"
"16","#savona",386,"Places"
"17","#allertagenova",355,"Emergency"
"18","#allertameteotos",344,"Emergency"
"19","#bisagno",335,"Places"
"20","#alassio",320,"Places"
"21","#lavagna",311,"Places"
"22","#imperia",277,"Places"
"23","#news",277,"others"
"24","#entella",264,"Places"
"25","#allerta1",215,"Emergency"
"26","#busalla",208,"Places"
"27","#pietraligure",185,"Places"
"28","#numeroverde",182,"Emergency"
"29","#andora",180,"Places"
"30","#allerta",174,"Emergency"
"31","#carasco",170,"Places"
"32","#campomorone",161,"Places"
"33","#fereggiano",157,"Places"
"34","#laspezia",155,"Places"
"35","#protezionecivile",153,"Institution"
"36","#leivi",150,"Places"
"37","#allertameteoge",148,"Emergency"
"38","#forzaliguria",147,"Places"
"39","#allertameteo",134,"Emergency"
"40","#glocal14",131,"others"
"41","#sestriponente",127,"Places"
"42","#allertameteopie",126,"Emergency"
"43","#viafereggiano",118,"Places"
"44","#poveraitalia",113,"others"
"45","#meteo",112,"Weather"
"46","#albisola",107,"Places"
"47","#pegli",107,"Places"
"48","#italia",101,"others"
"49","#sapevatelo",101,"others"
"50","#allertameteopm",100,"Emergency"
"51","#garlenda",97,"Places"
"52","#valbisagno",97,"Places"
"53","#bolzaneto",96,"Places"
"54","#valpolcevera",96,"Places"
"55","#trombe",94,"others"
"56","#vadoligure",92,"Places"
"57","#pontedecimo",90,"Places"
"58","#mignanego",88,"Places"
"59","#nonpuopioverepersempre",88,"others"
"60","#sampierdarena",87,"Places"
"61","#sanfruttuoso",86,"Places"
"62","#ceriale",85,"Places"
"63","#allertameteo2",84,"Emergency"
"64","#allertameteolom",82,"Emergency"
"65","#genovavoltri",79,"Places"
"66","#a7",77,"Mobility"
"67","#allertameteosv",76,"Emergency"
"68","#frana",76,"Emergency"
"69","#zoagli",75,"Places"
"70","#ortonovo",73,"Places"
"71","#fuoridalleuro",70,"others"
"72","#seveso",68,"Places"
"73","#cantarena",67,"Places"
"74","#allertalig",66,"Emergency"
"75","#milano",66,"Places"
"76","#fango",65,"Emergency"
"77","#allagamenti",64,"Emergency"
"78","#alluvionevalpolcevera",63,"Emergency"
"79","#dissestolig",60,"Emergency"
"80","#varigotti",60,"Places"
"81","#finaleligure",59,"Places"
"82","#bergeggi",58,"Places"
"83","#sanremo",57,"Places"
"84","#alluvionege",56,"Emergency"
"85","#frane",56,"Emergency"
"86","#allertamet",54,"others"
"87","#rapallo",53,"Places"
"88","#celleligure",51,"Places"
"89","#quirico",51,"Places"
"90","#varazze",51,"Places"
"91","#spezia",49,"Places"
"92","#allertage",48,"Emergency"
"93","#temporale",46,"Weather"
"94","#trovalalanterna",46,"others"
"95","#rossiglione",45,"Places"
"96","#autostrada",42,"Mobility"
"97","#cronacameteo",42,"Weather"
"98","#carrara",41,"Places"
"99","#arenzano",39,"Places"
"100","#fabbriche",39,"others"
"101","#montoggio",39,"Places"
"102","#struppa",39,"Places"
"103","#a12",38,"Mobility"
"104","#cinqueterre",38,"Places"
"105","#grandinata",38,"Weather"
"106","#stura",35,"Places"
"107","#buongiorno",34,"others"
"108","#gabrielli",34,"Institution"
"109","#genovaquinto",33,"Places"
"110","#serrariccò",33,"Places"
"111","#acqui",32,"Places"
"112","#hmrd",32,"others"
"113","#ventimiglia",32,"Places"
"114","#alluvi",30,"others"
"115","#chiaravagna",30,"Places"
"116","#a10",29,"Mobility"
"117","#diano",29,"Places"
"118","#piazzapulita",29,"Media"
"119","#pompeiana",29,"Places"
"120","#trensasco",29,"Places"
"121","#castelnuovomagra",28,"Places"
"122","#chiavariallagata",28,"Emergency"
"123","#finale",28,"Places"
"124","#genovaresisti",28,"Places"
"125","#den",27,"others"
"126","#gavette",27,"Places"
"127","#noncipossocredere",27,"others"
"128","#rovare",27,"Places"
"129","#serraricco",27,"Places"
"130","#tigullio",27,"Places"
"131","#binari",26,"Mobility"
"132","#casella",26,"Places"
"133","#gaulli",26,"Places"
"134","#manuzio",26,"Places"
"135","#maremola",26,"Places"
"136","#visitpietraligure",26,"Places"
"137","#arpal",25,"Institution"
"138","#coc",25,"Emergency"
"139","#noli",25,"Places"
"140","#sarzana",25,"Places"
"141","#treni",25,"Mobility"
"142","#nervi",24,"Places"
"143","#ovada",24,"Places"
"144","#piemonte",24,"Places"
"145","#renzi",24,"Institution"
"146","#sestrilevante",24,"Places"
"147","#toscana",24,"Places"
"148","#coltri",23,"others"
"149","#loano",23,"Places"
"150","#massa",23,"Places"
"151","#ponente",23,"Places"
"152","#tovosangiacomo",23,"Places"
"153","#esondazione",22,"Emergency"
"154","#live",22,"others"
"155","#po",22,"Places"
"156","#allertameteolaz",21,"Emergency"
"157","#allertameteosar",21,"Emergency"
"158","#arquata",21,"Places"
"159","#roncoscrivia",21,"Places"
"160","#torino",21,"Places"
"161","#allertame",20,"others"
"162","#comunegenova",20,"Places"
"163","#santamargherita",20,"Places"
"164","#valfontanabuona",20,"Places"
"165","#viabilità",20,"Mobility"
"166","#agorarai",19,"others"
"167","#lombardia",19,"Places"
"168","#roma",19,"Places"
"169","#valbrevenna",19,"Places"
"170","#valdimagra",19,"Places"
"171","#forzazena",18,"others"
"172","#primocanale",18,"Media"
"173","#teiro",18,"Places"
"174","#torsapienza",18,"Places"
"175","#amt",17,"Mobility"
"176","#ceranesi",17,"Places"
"177","#cornigliano",17,"Places"
"178","#ferreggiano",17,"Places"
"179","#giovi",17,"Places"
"180","#idrotigullio",17,"Places"
"181","#lambro",17,"Places"
"182","#lerici",17,"Places"
