"","mentions","freq","cat"
"1","miti_vigliero",3176,"others"
"2","primocanale",2611,"Media"
"3","frabaraghini",2185,"others"
"4","tweetty84",1447,"others"
"5","farmaciaserrage",1120,"others"
"6","protcivilege",974,"Institution"
"7","emergenza24",941,"Volunteer_NGO"
"8","ilsecoloxix",892,NA
"9","3bmeteo",740,"Weather"
"10","allertameteolig",577,"Weather"
"11","stefaniaconti",574,"others"
"12","raffaellapaita",511,"Institution"
"13","capitanachab",510,"others"
"14","comunedigenova",508,"Institution"
"15","cristianobosco",411,"others"
"16","protcivnews",343,"Media"
"17","meteolanterna",326,"Weather"
"18","micky_genova",320,"others"
"19","wwwmeteoit",308,"Weather"
"20","dettobene",305,"others"
"21","ossmeteobargone",292,"Weather"
"22","virus1979c",286,"others"
"23","bagnivirginia",270,"others"
"24","samacane",270,"others"
"25","valentinaeve",261,"others"
"26","gtimossi",256,"others"
"27","karuso",244,"others"
"28","pagina2cento",241,"others"
"29","fedeleamico",232,"others"
"30","_garibaldi_",220,"others"
"31","geoluc_mei",218,"others"
"32","genesdegenes",217,"others"
"33","genova24it",203,"Media"
"34","edosala8",199,"others"
"35","mr_torax",198,"others"
"36","sister_magister",192,"others"
"37","arpal_rischiome",188,NA
"38","dapambianchi",183,"others"
"39","nureldin",179,"others"
"40","valentinaveltro",172,"others"
"41","io_marinella",167,"others"
"42","meteolimet",167,"Weather"
"43","matteobasilege",161,"others"
"44","robertocatzeddu",160,"others"
"45","iogenovese",157,"others"
"46","slavina6",155,"others"
"47","missperspy",149,"others"
"48","alesmacc",144,"others"
"49","genova4tourist",143,"Media"
"50","nerys__",136,"others"
"51","la_stampa",129,"Media"
"52","ricardoernst",127,"others"
"53","telenord",125,"others"
"54","anpasnazionale",124,"Volunteer_NGO"
"55","lucanatale70",123,"others"
"56","papryka5",123,"others"
"57","mikytooo",121,"others"
"58","dicrescenzog",117,"others"
"59","e",117,NA
"60","edorepe93",116,"others"
"61","meteogequinto",115,"Weather"
"62","la_rouge_doc",114,"others"
"63","mariniriccardo",110,"others"
"64","jessicanicolini",107,"others"
"65","sml2020",96,"Media"
"66","luigi_xiv",91,"others"
"67","lyliusbea",90,"others"
"68","danielekeshk",89,"others"
"69","mattiarighello",89,NA
"70","quezzimeteo",88,"Weather"
"71","marcodondero",81,"others"
"72","retemeteoamator",80,"Weather"
"73","pater1947",79,"others"
"74","kin_nik",78,"others"
"75","eneriemrap",76,"others"
"76","maralupano",75,"others"
"77","fabio63_genova",74,"others"
"78","ila_g_",71,"others"
"79","jackgrifo",70,"others"
"80","wasvirginia",70,"others"
"81","giove09",69,"others"
"82","furettop",67,"others"
"83","giornaleprociv",67,"Media"
"84","unigenova",65,"Institution"
"85","flavia1105",63,"others"
"86","gentiledavide",63,"others"
"87","pennadireve",63,"others"
"88","angybert7",62,"others"
"89","mediasettgcom24",60,"Media"
"90","ritzrove",60,"others"
"91","simoneperelli",60,"others"
"92","kidstu",59,"others"
"93","patriziacavanna",58,"others"
"94","rain_1982",57,"others"
"95","maurococcoli",56,"others"
"96","leonesidiventa",55,"others"
"97","salatina67",51,"others"
"98","verncorn",50,"others"
"99","armandobarbano",49,"others"
"100","claudioburlando",49,"others"
"101","matteorenzi",49,NA
"102","annabelladellac",48,"others"
"103","radiobabboleo",48,"Media"
"104","robertorccasu",47,"others"
"105","marcello_gatto",46,"others"
"106","robiro14",45,"others"
"107","carlopoggi",44,"others"
"108","enricocoltri1",44,"others"
"109","giannigrigio",44,"others"
"110","lucianaciolfi",44,"others"
"111","rep_genova",44,"Media"
"112","parodi_lucio",43,"others"
"113","youreporter",42,NA
"114","agorlerici",41,"others"
"115","ilarianatoli",41,"others"
"116","ettamaggio",40,"others"
"117","marinamas",39,"others"
"118","stefanobarabino",39,"others"
"119","visit_riviera",39,"Institution"
"120","gio1893",37,"others"
"121","massy1176",37,"others"
"122","ugotruffelli",37,"others"
"123","castelnuovom",36,"Institution"
"124","fo1984",36,"others"
"125","ilovegenova",36,"others"
"126","francescanacini",35,"others"
"127","maxwellego",35,"others"
"128","meteospeziacom",35,"Weather"
"129","semprecontro",35,"others"
"130","comilara",34,"others"
"131","genovaeroporto",34,"others"
"132","ilrequieto",34,"others"
"133","piazzapulitala7",34,"Media"
"134","aleandreis68",33,"others"
"135","allertameteoit",33,"Weather"
"136","eziovalerio",33,"others"
"137","ap29483",32,"others"
"138","ghiglino1893",32,"others"
"139","rlevaggi",32,NA
"140","davvedder",31,"Weather"
"141","silvia_moggia",31,"others"
"142","annathelion",30,"others"
"143","luigidetroia",30,"others"
"144","matteoguidelli",30,"others"
"145","agenzia_ansa",29,NA
"146","arcadiacoopsoc",29,"others"
"147","_imtryingtobeok",29,"others"
"148","pietroserra",29,"others"
"149","primocan",29,NA
"150","susyvianello",29,"others"
"151","danielezanardi8",28,"others"
"152","giraldo_ale",28,"others"
"153","matteocantile",28,"others"
"154","monicasella79",28,"others"
"155","anbarone",27,"others"
"156","canilecosenza",27,NA
"157","flavialovestara",27,NA
"158","lioklingo",27,"others"
"159","l_magni",27,"others"
"160","meteoportaleita",27,"Weather"
"161","paolopoggio",27,"others"
"162","sinomarco",27,"others"
"163","trovalalanterna",27,"others"
"164","arpal_risch",26,NA
"165","diegomozzo",26,"others"
"166","graziano_delrio",26,NA
"167","ilcorvoparlante",26,"others"
"168","rmc_official",26,"others"
"169","comunespezia",25,"Institution"
"170","uncuorexlavita",25,"others"
"171","cofferati",24,"others"
"172","frysalvi1",24,"others"
"173","giorgia",24,"others"
"174","inaprile",24,"others"
"175","tzn_lalla",24,"others"
"176","vstpietraligure",24,"others"
"177","dadag84",23,"others"
"178","davideracconta",23,"others"
"179","emergenza",23,NA
"180","fagemma",23,"others"
"181","gianlucagarro",23,"others"
"182","laura_ceruti",23,"others"
"183","perlupo",23,"others"
"184","pierfem",23,"others"
"185","primocana",23,NA
"186","silvietta_italy",23,"others"
"187","albertbonav91",22,"others"
"188","chiarabale",22,"others"
"189","cogonidaniele",22,"others"
"190","lprotezione",22,NA
"191","michael_thes",22,"others"
"192","mprevell",22,"others"
"193","renata_briano",22,"others"
"194","trenetta",22,"others"
"195","angelatanania",21,"others"
"196","frab",21,NA
"197","frabaraghi",21,NA
"198","ivgit",21,NA
"199","lorenzobasso",21,"others"
"200","mrmegu",21,"others"
"201","rdellabianca",21,"others"
"202","silvianalon",21,"others"
"203","commfuturo",20,"others"
"204","emerg",20,NA
"205","fattoquotidiano",20,"Media"
"206","luxgandi",20,"others"
"207","mikiceyes",20,"others"
"208","alessandro_oddo",19,"others"
"209","allertameteolg",19,"Weather"
"210","danipeschiera",19,"others"
"211","davidefent",19,"others"
"212","fraba",19,NA
"213","irenetesini",19,"others"
"214","leonaltro",19,NA
"215","primocanal",19,NA
"216","alexispaparo",18,"others"
"217","carlostagnaro",18,"others"
"218","ilariolarosageo",18,"others"
"219","lucacav",18,"others"
"220","marcodonatiello",18,"others"
"221","mi",18,NA
"222","n_agoglio",18,"others"
"223","saramadlud",18,"others"
"224","temposospeso",18,"others"
"225","539th",17,"others"
"226","classmeteo",17,"Weather"
"227","crocerossa",17,NA
"228","faberix",17,NA
"229","gerrygreco",17,"others"
"230","lucalombroso",17,"Weather"
"231","marabarbieri77",17,"others"
"232","pablorojasit",17,NA
"233","paola_faravelli",17,"others"
"234","savonanews",17,NA
"235","agorarai",16,"others"
"236","beaspinelli",16,"others"
"237","claudiafiori72",16,"others"
"238","cosmico77",16,"others"
"239","fabiocapra3",16,"others"
"240","gabrielezagni",16,"others"
"241","giordanobrega",16,"others"
"242","lachessina",16,"others"
"243","marcoamromani",16,"others"
"244","mauroboccaccio",16,"others"
"245","milkozanini",16,"others"
"246","natiz",16,NA
"247","pri",16,NA
"248","rainews24",16,NA
"249","tommasotrucco",16,"others"
"250","valeriav78",16,"others"
"251","yellowflate",16,"others"
"252","andreauakari",15,"others"
"253","antonellacrima2",15,"others"
"254","brandobenifei",15,"others"
"255","emmagerboni",15,NA
"256","fra_marchese",15,"others"
"257","francescabales1",15,"others"
"258","gasperiniluca",15,"others"
"259","hr_italian",15,"Volunteer_NGO"
"260","miss_s_fletcher",15,"others"
"261","muoversintoscan",15,"Institution"
"262","primoca",15,NA
"263","repubblicait",15,NA
"264","autoconautista",14,"others"
"265","dandany5",14,"others"
"266","erasmodangelis",14,"others"
"267","fra_nittolo",14,"others"
"268","marcokanobelj",14,"others"
"269","museobergallo",14,"Institution"
"270","novidue",14,NA
"271","rlevagginn",14,NA
"272","aliceborutti",13,"others"
"273","anvolp666",13,"others"
"274","arpal_liguria",13,NA
"275","drusconi",13,"others"
"276","elleerre",13,"others"
"277","emergenza24pro",13,"Volunteer_NGO"
"278","federicaghiga",13,"others"
"279","filenstyle_",13,"others"
"280","genovautile",13,"Media"
"281","giancox",13,"others"
"282","giornalegiunta",13,"Institution"
"283","girodellabratta",13,"others"
"284","kottomano",13,"others"
"285","marinotoma",13,"others"
"286","muschelschloss",13,"others"
"287","riskiomap",13,"Weather"
"288","robertamilano",13,"others"
"289","aldebauro",12,"others"
"290","antonsessa",12,"others"
"291","flosdrums",12,"others"
"292","liguria24news",12,"Media"
"293","matroneelisabet",12,"others"
"294","rainews",12,NA
"295","sergioparisse",12,"others"
"296","sindacoorsi",12,NA
"297","vilmaberta17",12,"others"
"298","ansaliguria",11,NA
"299","cghila",11,"others"
"300","crocebiancage",11,"Volunteer_NGO"
"301","dagghii",11,"others"
"302","davideheinz",11,"others"
"303","manuensita",11,"others"
"304","oacingegneria",11,"others"
"305","panorama_it",11,NA
"306","paolatelesio",11,"others"
"307","prim",11,NA
"308","tigella",11,"others"
"309","a",10,NA
"310","a_biancheri",10,"others"
"311","adrianoattus",10,"others"
"312","albertomariawid",10,NA
"313","alf_crisci",10,"others"
"314","angelobruno19",10,"others"
"315","arditi1970",10,"others"
"316","blunico72",10,"others"
"317","comemusica",10,"others"
"318","corriereit",10,NA
"319","dianaletizia",10,"others"
"320","ducale_gen",10,NA
"321","edoteque",10,"others"
"322","eingrassia",10,"others"
"323","emanuelamortari",10,"others"
"324","fede_descalzo",10,"others"
"325","flash_meteo",10,NA
"326","gmgiua",10,"others"
"327","millazena",10,"others"
"328","pianetagenoa",10,"Media"
"329","seelallero",10,"others"
"330","valbormidatv",10,"Media"
"331","valeriatomei75",10,"others"
"332","arpal_meteomare",9,NA
"333","assopeng",9,"others"
"334","balconaggio",9,"others"
"335","calb71",9,"others"
"336","cristigalas",9,"others"
"337","dariofrance",9,NA
"338","dariovassallo",9,"others"
"339","dexmac221",9,"others"
"340","fnicodemo",9,"others"
"341","gky",9,"others"
"342","lafrancaeffe",9,"others"
"343","lucalukaszek88",9,"others"
"344","marelli2000",9,"others"
"345","marinamyname",9,"others"
"346","mentelocale_it",9,"others"
"347","_pazzina",9,"others"
"348","pierdepe",9,"others"
"349","primocanalesono",9,NA
"350","raccontidiviagg",9,"others"
"351","rosybattaglia",9,"others"
"352","velaom",9,NA
"353","zeroparoleit",9,"others"
"354","147fra",8,"others"
"355","alefavapress",8,NA
"356","bastacasta",8,"others"
"357","caterinadoglio",8,"others"
"358","cciss_ministero",8,NA
"359","danielaquartu",8,"others"
"360","doriamarco",8,NA
"361","emerge67",8,"others"
"362","garro78",8,"others"
"363","gianniniroberto",8,"others"
"364","giulione3",8,"others"
"365","lazzara1970",8,NA
"366","magconsmay",8,NA
"367","massidestri",8,"others"
"368","mattecarlino",8,"others"
"369","maximilone",8,"others"
"370","mediasettgcom",8,NA
"371","mvilla84",8,"others"
"372","nulladuevolte",8,"others"
"373","p",8,NA
"374","parco5terre",8,"Institution"
"375","pelopida",8,"others"
"376","primoc",8,NA
"377","primocanalestanno",8,NA
"378","pvlucapv",8,"others"
"379","robbybleah",8,"others"
"380","robylum",8,"others"
"381","s_franceschi",8,NA
"382","silvanorubino",8,"others"
"383","skytg24",8,NA
"384","thebladerunning",8,"others"
"385","tmaxgentile",8,"others"
"386","twandreazara",8,"others"
"387","valentem5s",8,"others"
"388","veseviu",8,"others"
"389","actarus1070",7,"others"
"390","albertopandolfo",7,"others"
"391","amistagenova",7,"others"
"392","aziendalucia",7,"others"
"393","ba_bars",7,"others"
"394","corradoformigli",7,NA
"395","cristinascappa",7,"others"
"396","dieentropie",7,"others"
"397","emergenza24rt",7,NA
"398","giopge",7,"others"
"399","heythereluaodln",7,"others"
"400","indivanados",7,"others"
"401","infoblu_genova",7,"Media"
"402","mattiacasani",7,"others"
"403","maurinho4u",7,"others"
"404","maxbernardini",7,"others"
"405","mcglen79",7,"others"
"406","molotov00",7,"others"
"407","monicariotcapo",7,NA
"408","museoceramicasv",7,"Institution"
"409","pasqu85",7,"others"
"410","pierretennis1",7,"others"
"411","primo",7,NA
"412","pronews_it",7,"Media"
"413","riccardolev",7,NA
"414","savonadomani",7,"Media"
"415","sheeranbhmgdr",7,"others"
"416","toniolp83",7,"others"
"417","valentinapetrin",7,"others"
"418","welikechopin",7,NA
"419","2moschebianche",6,"others"
