"message","retweetCount","retweeted_authors","data"
"pazzesco il #polcevera  a distanza di pochi minuti foto di  @stefaniaconti #allertameteolig #alluvionegenova http://t.co/gesfgwlzsp",362,"farmaciaserrage","2014-11-15"
"rt @farmaciaserrage: pazzesco il #polcevera  a distanza di pochi minuti foto di  @stefaniaconti #allertameteolig #alluvionegenova http://t.…",362,"andreaagostinia","2014-11-15"
"polcevera, fiumara, sampierdarena. parole non ce ne sono più. #allertameteolig #alluvionegenova #genova @emergenza24 http://t.co/7ru4on5z0n",177,"micky_genova","2014-11-15"
"rt @gtimossi: #allertameteolig testimone  #voltri ""boato dal #cerusa,  distrutte fabbriche sugli argini. non uscite"" @ilsecoloxix http://t.…",145,"pasbaby","2014-11-15"
"la stazione ferroviaria ad #alassio (foto di alessandro scarpati). #allertameteolig http://t.co/gfd8mhfogw",142,"cristianobosco","2014-11-15"
"#allertameteolig situazione drammatica a chiavari (foto @samacane) http://t.co/87yisx0xsx",141,"DettoBene","2014-11-10"
"fate rt.
grazie.
#allertameteolig http://t.co/qqn7u4ne2d",130,"ValentinaVeltro","2014-11-15"
"rt @valentinaveltro: fate rt.
grazie.
#allertameteolig http://t.co/qqn7u4ne2d",130,"Paolo_Micheli","2014-11-15"
"rt @miti_vigliero: polcevera ora #allertameteolig http://t.co/vto3a5spxu",129,"simonespetia","2014-11-15"
"fa paura .
#allertameteolig #genova ” #alluvioneliguria http://t.co/dvf0hzsrfa",125,"io_marinella","2014-11-15"
"rt @io_marinella: fa paura .
#allertameteolig #genova ” #alluvioneliguria http://t.co/dvf0hzsrfa",125,"PGambetti","2014-11-15"
