"date","native_tweets","native_retweets","retweet_ratio","Nday_authors","Nday_hash","Nday_mention","Nday_links","Nmean_hashtag","Nmean_mentions","Nmean_words","Nunique_authors","Nuniq_hash","Nuniq_mention","Nuniq_links","retweetCount","repliesCount","N_favor"
2014-11-03,11,22,2,33,66,24,16,2,1.03,12.48,22,17,5,9,0,1,17
2014-11-04,163,337,2.07,500,885,433,261,1.77,1.11,13.06,223,71,53,97,21,14,247
2014-11-05,50,70,1.4,120,192,104,86,1.6,1.18,14.37,58,39,16,39,2,1,69
2014-11-06,6,4,0.67,10,21,4,3,2.1,1,16.7,9,12,1,2,1,0,7
2014-11-07,,,,,,,,,,,,,,,,,
2014-11-08,1,0,0,1,1,0,1,1,1,16,1,1,0,1,0,0,1
2014-11-09,9,21,2.33,30,63,21,16,2.1,1,14.9,21,6,1,2,0,0,13
2014-11-10,17,50,2.94,67,131,59,66,1.96,1.1,16.4,46,15,5,14,47,0,24
2014-11-11,81,220,2.72,301,671,256,190,2.23,1.08,15.4,139,68,22,64,113,4,150
2014-11-12,63,127,2.02,190,447,145,142,2.35,1.06,14.06,86,54,25,64,93,1,111
2014-11-13,9,22,2.44,31,81,24,22,2.61,1.06,15.23,21,18,9,12,13,0,18
2014-11-14,18,22,1.22,40,97,24,42,2.42,1.02,13.72,30,20,7,23,15,0,27
2014-11-15,148,500,3.38,648,1575,603,581,2.43,1.11,15.25,325,68,44,93,429,2,272
2014-11-16,25,38,1.52,63,130,45,52,2.06,1.02,14.81,32,25,10,29,22,1,40
2014-11-17,23,73,3.17,96,180,76,64,1.88,1.02,15.56,47,11,7,18,72,0,42
2014-11-18,4,6,1.5,10,21,6,2,2.1,1,14.5,6,4,1,2,8,0,6
2014-11-19,1,1,1,2,4,1,0,2,1,12,2,2,1,0,1,0,2
2014-11-20,,,,,,,,,,,,,,,,,
2014-11-21,,,,,,,,,,,,,,,,,
2014-11-22,,,,,,,,,,,,,,,,,
2014-11-23,,,,,,,,,,,,,,,,,
2014-11-24,,,,,,,,,,,,,,,,,
2014-11-25,2,3,1.5,5,14,3,4,2.8,1,11.4,5,5,1,1,5,0,3
2014-11-26,0,2,,2,6,2,2,3,1,11,2,3,1,1,,0,
2014-11-27,1,0,0,1,3,0,1,3,1,10,1,3,0,1,0,0,1
2014-11-28,8,16,2,24,49,16,11,2.04,1,14.75,15,8,2,5,26,0,14
2014-11-29,5,45,9,50,85,46,43,1.7,1,16.48,26,5,1,9,44,0,9
2014-11-30,9,66,7.33,75,154,72,45,2.05,1.07,15,55,9,6,7,84,0,18
2014-12-01,45,110,2.44,155,424,114,155,2.74,1.01,16.41,78,38,15,45,82,0,76
2014-12-02,3,3,1,6,18,3,4,3,1,16.17,5,5,2,3,4,0,4
