"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,8,4,2,4,15
2014-11-04,15,45,83,12,345
2014-11-05,0,19,31,9,61
2014-11-06,2,1,3,0,4
2014-11-07,,,,,
2014-11-08,0,0,0,0,1
2014-11-09,0,8,3,1,18
2014-11-10,3,11,14,3,36
2014-11-11,7,31,77,16,170
2014-11-12,4,28,47,7,104
2014-11-13,0,3,5,6,17
2014-11-14,1,3,8,1,27
2014-11-15,3,47,106,18,474
2014-11-16,2,4,26,2,29
2014-11-17,4,29,11,6,46
2014-11-18,0,3,1,2,4
2014-11-19,0,2,0,0,0
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-22,,,,,
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,0,2,0,0,3
2014-11-26,0,1,0,0,1
2014-11-27,0,0,1,0,0
2014-11-28,1,6,3,2,12
2014-11-29,0,10,3,2,35
2014-11-30,1,13,7,4,50
2014-12-01,6,12,36,8,93
2014-12-02,0,0,1,0,5
