"date","Emergency","Places","Outside_Places","Institution","Media","Weather","Mobility","others"
2014-11-03,43,10,6,8,0,7,0,2
2014-11-04,591,221,79,30,0,33,6,15
2014-11-05,135,40,8,1,0,8,2,6
2014-11-06,13,6,8,0,0,2,0,0
2014-11-07,,,,,,,,
2014-11-08,1,0,0,0,0,0,0,0
2014-11-09,32,14,3,4,0,13,0,0
2014-11-10,94,16,2,6,0,8,0,7
2014-11-11,492,107,78,4,1,12,23,55
2014-11-12,298,92,22,6,0,19,2,30
2014-11-13,46,18,13,6,0,2,0,10
2014-11-14,70,12,17,5,0,4,0,8
2014-11-15,1002,321,189,2,0,117,20,117
2014-11-16,96,27,3,0,1,0,0,6
2014-11-17,160,3,0,0,0,0,0,17
2014-11-18,20,1,0,0,0,0,0,0
2014-11-19,4,0,0,0,0,0,0,0
2014-11-20,,,,,,,,
2014-11-21,,,,,,,,
2014-11-22,,,,,,,,
2014-11-23,,,,,,,,
2014-11-24,,,,,,,,
2014-11-25,9,1,0,1,0,0,0,3
2014-11-26,4,0,0,0,0,0,0,2
2014-11-27,2,1,0,0,0,0,0,0
2014-11-28,40,0,3,3,0,3,0,3
2014-11-29,50,0,0,0,0,0,0,35
2014-11-30,147,3,0,3,0,1,0,0
2014-12-01,232,144,6,9,0,19,0,26
2014-12-02,9,8,0,0,0,0,0,1
