"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,0,17,0,2,4
2014-11-04,28,117,88,15,165
2014-11-05,11,52,18,1,18
2014-11-06,0,4,0,0,0
2014-11-07,,,,,
2014-11-08,0,0,0,0,0
2014-11-09,0,21,0,0,0
2014-11-10,0,51,5,3,0
2014-11-11,35,142,45,0,27
2014-11-12,4,81,24,0,22
2014-11-13,0,7,4,6,7
2014-11-14,0,12,3,1,8
2014-11-15,11,256,125,8,192
2014-11-16,1,19,20,0,3
2014-11-17,0,68,3,0,3
2014-11-18,0,6,0,0,0
2014-11-19,0,1,0,0,0
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-22,,,,,
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,0,3,0,0,0
2014-11-26,0,2,0,0,0
2014-11-27,0,0,0,0,0
2014-11-28,0,14,2,0,0
2014-11-29,0,46,0,0,0
2014-11-30,0,66,0,1,1
2014-12-01,3,57,38,0,14
2014-12-02,0,1,0,0,2
