"","authors","freq","cat"
"1","quotidianopiem",223,"Media"
"2","ArpaPiemonte",175,"Weather"
"3","Ossmeteobargone",71,"Weather"
"4","diAlessandria",69,"Media"
"5","Miti_Vigliero",50,"others"
"6","Stefano_Summa",50,"others"
"7","nastrorosa",49,"others"
"8","vittoriopasteris",40,"others"
"9","SOL_CRI_Giaveno",30,"others"
"10","ilVergante",26,"Media"
"11","CRIcuneo",25,"Volunteer_NGO"
"12","lesherbes",25,"others"
"13","RadioPerusia",22,"Media"
"14","Marinamas",19,"others"
"15","ProteggereI",19,"Volunteer_NGO"
"16","crpiemonte",18,"Volunteer_NGO"
"17","ERA_Arenzano",18,"others"
"18","Turineis",17,"others"
"19","Aringoogle",16,"others"
"20","giornaleprociv",16,"Media"
"21","robertore62",15,"others"
"22","_TheWitch_",14,"others"
"23","discoradioIT",14,"Media"
"24","fircbvercelli",14,"Volunteer_NGO"
"25","solops",14,"others"
"26","wwwmeteoit",14,"Weather"
"27","CapitanAchab",13,"others"
"28","FabioSbonch",13,"others"
"29","Beppeley",12,"others"
"30","blogalessandria",12,"Media"
"31","emabelli13",12,"others"
"32","rataplangq",12,"others"
"33","DavideGavi",11,"others"
"34","Emergenza24",11,"Volunteer_NGO"
"35","FabriBor",11,"others"
"36","federicaghiga",11,"others"
"37","annabelladellac",10,"others"
"38","DaniloPapurello",10,"others"
"39","FedeDeGiacomo",10,"others"
"40","Protcivnews",10,"Media"
"41","provinciacuneo",10,"Institution"
"42","putredine",10,"others"
"43","QCanavese",10,"Media"
"44","RadioBeckwith",10,"Media"
"45","semprecontro",10,"others"
"46","riskiomap",9,"others"
"47","FlipRuth",8,"others"
"48","gianlucamorino",8,"others"
"49","nadiameriggio",8,"others"
"50","SoaveAnna",8,"others"
"51","bc_emergenza",7,"Volunteer_NGO"
"52","ClaudiaCavadore",7,"others"
"53","DanyDeg77",7,"others"
"54","luca_bracco",7,"others"
"55","MVaccariello",7,"others"
"56","PiemonteInforma",7,"Institution"
"57","SimonaBellarmin",7,"others"
"58","UnioneMregalese",7,"Media"
"59","yes_political",7,"others"
"60","3BMeteo",6,"Weather"
"61","AnpasPiemonte",6,"Institution"
"62","bigfab1",6,"others"
"63","branotizie",6,"Media"
"64","CRI_Crescentino",6,"others"
"65","federicoorta",6,"others"
"66","Giancagt6",6,"others"
"67","Guarene2020",6,"others"
"68","ITnewsCN",6,"Media"
"69","Lequazione",6,"others"
"70","Miriam8112",6,"others"
"71","patrizia6119",6,"others"
"72","telesu_tv",6,"Media"
"73","tifizifiafanafa",6,"others"
"74","AlexandrNevskij",5,"others"
"75","AllertameteoPIE",5,"Weather"
"76","antonellaval6",5,"others"
"77","cielomiomarito",5,"others"
"78","CostrIlFuturo",5,"others"
"79","daniballardini",5,"others"
"80","e_cce",5,"others"
