"","mentions","freq","cat"
"1","arpapiemonte",925,"Weather"
"2","quotidianopiem",202,"Media"
"3","3bmeteo",108,"Weather"
"4","gianlucamorino",78,"others"
"5","dialessandria",74,"Media"
"6","pcproval",71,"Institution"
"7","frabaraghini",66,"others"
"8","miti_vigliero",59,"others"
"9","giornaleprociv",47,"Media"
"10","danielekeshk",25,"others"
"11","capitanachab",23,"others"
"12","cricuneo",20,"Volunteer_NGO"
"13","nastrorosa",19,"others"
"14","davidegavi",15,"others"
"15","monicasella79",14,"others"
"16","unionemregalese",13,"Media"
"17","vittoriopasteris",12,"others"
"18","eliodefrani",11,"others"
"19","blogalessandria",9,"Media"
"20","marinamas",9,"others"
"21","rataplangq",9,"others"
"22","semprecontro",9,"others"
"23","crpiemonte",7,"Volunteer_NGO"
"24","discoradioit",7,"Media"
"25","ilvergante",7,"Media"
"26","tigella",7,"others"
"27","aldebauro",6,"others"
"28","angelatanania",6,"others"
"29","davvedder",6,"others"
"30","micky_genova",6,"others"
"31","pier_mar",6,"others"
"32","serenacerutti",6,"others"
"33","twitorino",6,"Institution"
"34","caterinadoglio",5,"others"
"35","crocerossa",5,NA
"36","la_stampa",5,NA
"37","lecchinimichele",5,"others"
"38","paolopoggio",5,NA
"39","provinciabiella",5,NA
"40","provinciacuneo",5,"Institution"
"41","pvlucapv",5,"others"
"42","radiogoldal",5,"Media"
"43","twtorino",5,NA
"44","gabbroit",4,"others"
"45","pcpontestura",4,"Institution"
"46","protcivnews",4,"Media"
"47","riskiomap",4,"others"
"48","simonabellarmin",4,"others"
"49","_thewitch_",4,"others"
"50","tipintown",4,NA
"51","alessandrianews",3,"Media"
"52","allertameteopie",3,"Weather"
"53","arpapi",3,NA
"54","comune_saluzzo",3,"Institution"
"55","criaeprovtorino",3,"Volunteer_NGO"
"56","cri_crescentino",3,"others"
"57","emerge67",3,"others"
"58","emergenza24",3,"Volunteer_NGO"
"59","fircbvercelli",3,"Volunteer_NGO"
"60","rafcalandra",3,"others"
"61","vandasarto",3,"others"
"62","arpapiemon",2,NA
"63","chiarabianchini",2,"others"
"64","comunedianom",2,"Institution"
"65","cvpc_cinisello",2,"Institution"
"66","einaudieditore",2,NA
"67","elisacasetta",2,"others"
"68","emergenza24rt",2,NA
"69","lesherbes",2,"others"
"70","liguria24news",2,"Media"
"71","meteoweb_eu",2,NA
"72","neogrigio",2,"others"
"73","ossmeteobargone",2,"Weather"
"74","pcdi",2,NA
"75","peppeiasparra",2,"others"
"76","strutturafine",2,"others"
"77","tranellio",2,"others"
"78","valecucinieri",2,"others"
"79","vcoazzurratv",2,NA
"80","verbaniamilleve",2,NA
"81","verbanonews",2,NA
"82","wwwmeteoit",2,"Weather"
"83","youtube",2,NA
"84","alessandria_ls",1,NA
"85","alybio",1,"others"
"86","arfeasrl",1,NA
"87","arpapiemontea",1,NA
"88","bobmastrangelo",1,NA
"89","cannawh",1,"others"
"90","classmeteo",1,"Weather"
"91","comunedipiovera",1,NA
"92","derthonafbc",1,NA
"93","frassannino",1,"others"
"94","furettop",1,NA
"95","gabrielezagni",1,"others"
"96","gavisince972",1,"others"
"97","genovamilano",1,NA
"98","granda_p_comuni",1,"others"
"99","guarene2020",1,"others"
"100","icioweb73",1,"others"
"101","insopportabile",1,"others"
"102","italia_24news",1,"Media"
"103","lponzo",1,NA
"104","malidoro",1,NA
"105","mariacaterina4",1,NA
"106","martinol87",1,"others"
"107","meteotweet24",1,"Weather"
"108","paolocolombola7",1,NA
"109","proteggerei",1,"Volunteer_NGO"
"110","puglia",1,NA
"111","puglia_in",1,NA
"112","qcanavese",1,"Media"
"113","radiormt",1,"Weather"
"114","raitv",1,NA
"115","robertore62",1,"others"
"116","shareaholic",1,NA
"117","telenord",1,NA
"118","tulangheroero",1,"others"
"119","valenitna",1,"others"
"120","valentinaeve",1,"others"
"121","yes_political",1,"others"
