"date","native_tweets","native_retweets","retweet_ratio","Nday_authors","Nday_hash","Nday_mention","Nday_links","Nmean_hashtag","Nmean_mentions","Nmean_words","Nmean_links","Nunique_authors","Nuniq_hash","Nuniq_mention","Nuniq_links","retweetCount","repliesCount","N_favor"
2014-11-03,4,18,4.5,22,99,18,38,4.5,0.82,16.59,1.73,20,9,2,6,50,0,6
2014-11-04,23,43,1.87,66,155,58,52,2.35,0.76,16.38,0.79,39,32,16,23,113,0,39
2014-11-05,115,196,1.7,311,813,346,163,2.61,0.77,13.54,0.52,111,79,43,72,426,3,180
2014-11-06,33,24,0.73,57,100,37,55,1.75,0.58,15.23,0.96,30,25,16,28,65,2,45
2014-11-07,8,6,0.75,14,27,12,10,1.93,0.57,16.14,0.71,11,9,7,9,10,0,13
2014-11-08,,,,,,,,,,,,,,,,,,
2014-11-09,65,168,2.58,233,478,268,102,2.05,0.83,17.1,0.44,122,28,45,40,273,4,115
2014-11-10,224,731,3.26,955,2316,1000,693,2.43,0.83,15.67,0.73,387,98,78,182,1155,3,437
2014-11-11,52,159,3.06,211,482,202,151,2.28,0.8,16.08,0.72,119,45,33,58,213,1,98
2014-11-12,17,46,2.71,63,152,86,46,2.41,0.84,15.78,0.73,41,18,12,19,53,0,30
2014-11-13,3,10,3.33,13,25,12,14,1.92,0.77,15.08,1.08,13,7,6,6,12,0,6
2014-11-14,35,58,1.66,93,170,106,76,1.83,0.77,15.39,0.82,53,20,28,36,109,3,59
2014-11-15,75,273,3.64,348,728,351,196,2.09,0.84,15.01,0.56,173,49,38,54,466,0,140
2014-11-16,27,97,3.59,124,219,115,130,1.77,0.82,15.3,1.05,76,17,19,36,122,0,55
2014-11-17,132,241,1.83,373,876,373,263,2.35,0.76,15.28,0.71,142,82,47,91,331,1,225
2014-11-18,11,25,2.27,36,81,33,23,2.25,0.75,15.81,0.64,23,18,11,13,26,1,25
2014-11-19,3,4,1.33,7,28,6,7,4,0.71,15.57,1,7,10,3,5,4,0,4
2014-11-20,,,,,,,,,,,,,,,,,,
2014-11-21,,,,,,,,,,,,,,,,,,
2014-11-22,0,1,0,1,4,2,0,4,1,17,0,1,4,2,0,2,0,1
2014-11-23,,,,,,,,,,,,,,,,,,
2014-11-24,,,,,,,,,,,,,,,,,,
2014-11-25,,,,,,,,,,,,,,,,,,
2014-11-26,1,0,0,1,6,0,1,6,0,17,1,1,6,0,1,0,0,1
2014-11-27,2,0,0,2,9,0,2,4.5,0,15.5,1,1,6,0,2,0,0,2
2014-11-28,4,9,2.25,13,20,9,6,1.54,0.69,14.77,0.46,12,2,3,3,10,0,6
2014-11-29,,,,,,,,,,,,,,,,,,
2014-11-30,39,51,1.31,90,194,75,62,2.16,0.64,15.98,0.69,46,27,24,34,66,3,66
2014-12-01,32,68,2.12,100,175,82,80,1.75,0.73,14.69,0.8,39,17,17,33,87,1,64
2014-12-02,1,0,0,1,2,0,1,2,0,16,1,1,2,0,1,0,0,1
