"date","Emergency","Places","Outside_Places","Institution","Media","Weather","Mobility","others","Social_Media"
2014-11-03,22,2,0,0,0,75,0,0,0
2014-11-04,77,39,10,4,0,26,12,0,0
2014-11-05,334,313,43,19,0,27,143,2,0
2014-11-06,68,24,11,2,0,4,0,3,0
2014-11-07,14,7,0,0,0,5,0,1,0
2014-11-08,,,,,,,,,
2014-11-09,273,202,44,0,0,1,0,2,0
2014-11-10,1209,869,384,3,0,90,135,50,0
2014-11-11,278,153,67,3,1,29,10,18,2
2014-11-12,96,65,6,0,0,18,0,2,0
2014-11-13,14,9,1,0,0,2,0,0,0
2014-11-14,109,46,10,0,0,11,0,4,0
2014-11-15,401,219,48,0,0,66,23,22,0
2014-11-16,136,62,13,0,0,18,0,3,0
2014-11-17,396,378,16,11,0,67,23,10,1
2014-11-18,36,32,0,1,0,12,0,0,0
2014-11-19,17,8,5,4,0,7,0,1,0
2014-11-20,,,,,,,,,
2014-11-21,,,,,,,,,
2014-11-22,1,2,0,0,0,1,0,0,0
2014-11-23,,,,,,,,,
2014-11-24,,,,,,,,,
2014-11-25,,,,,,,,,
2014-11-26,1,4,0,0,0,1,0,0,0
2014-11-27,3,3,0,0,0,1,2,0,0
2014-11-28,20,0,7,0,0,0,0,0,0
2014-11-29,,,,,,,,,
2014-11-30,104,63,4,7,0,16,0,4,0
2014-12-01,116,46,4,0,0,18,1,0,0
2014-12-02,1,1,0,0,0,0,0,0,0
