"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,2,16,0,0,0
2014-11-04,24,22,2,0,2
2014-11-05,198,33,27,5,34
2014-11-06,10,16,1,2,1
2014-11-07,3,3,0,2,2
2014-11-08,,,,,
2014-11-09,71,52,33,7,50
2014-11-10,329,277,135,10,129
2014-11-11,45,93,19,0,18
2014-11-12,35,1,35,1,14
2014-11-13,0,1,7,0,4
2014-11-14,51,24,9,0,5
2014-11-15,140,100,34,2,45
2014-11-16,48,35,21,0,2
2014-11-17,142,65,73,10,25
2014-11-18,4,1,17,2,7
2014-11-19,0,0,5,0,1
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-22,1,0,0,0,0
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,,,,,
2014-11-26,0,0,0,0,0
2014-11-27,0,0,0,0,0
2014-11-28,0,4,4,0,1
2014-11-29,,,,,
2014-11-30,46,11,8,0,4
2014-12-01,38,26,1,0,2
2014-12-02,0,0,0,0,0
