"","hashtag","freq","cat"
"1","#allertameteotos",3166,"others"
"2","#carrara",375,"Places"
"3","#toscana",373,"Places"
"4","#allertameteolig",356,"Emergency"
"5","#maltempo",180,"Weather"
"6","#versilia",136,"Places"
"7","#pisa",133,"Places"
"8","#elba",130,"Places"
"9","#chiavari",122,"Places"
"10","#pioggia",97,"Weather"
"11","#massa",94,"Places"
"12","#viabilitos",76,"Mobility"
"13","#genova",58,"Places"
"14","#livorno",54,"Places"
"15","#meteo",53,"Weather"
"16","#fipili",51,"Mobility"
"17","#lunigiana",48,"Places"
"18","#montignoso",46,"Places"
"19","#portoferraio",43,"Places"
"20","#firenze",42,"Places"
"21","#maremma",42,"Places"
"22","#prato",36,"Places"
"23","#aurelia",35,"Mobility"
"24","#ss1",35,"Mobility"
"25","#aulla",34,"Places"
"26","#serchio",34,"Places"
"27","#temporali",34,"Weather"
"28","#vento",29,"Weather"
"29","#alluvionecarrara",28,"Emergency"
"30","#chiavariallagata",28,"Emergency"
"31","#lucca",28,"Places"
"32","#den",27,"others"
"33","#isoladelba",27,"Places"
"34","#seravezza",27,"Places"
"35","#a12",25,"Mobility"
"36","#venturina",25,"Places"
"37","#carrione",24,"Places"
"38","#cecina",23,"Places"
"39","#pendolaritoscana",22,"Mobility"
"40","#a2",21,"Emergency"
"41","#cornia",21,"Places"
"42","#mareggiate",21,"Weather"
"43","#allagamentielba",20,"Emergency"
"44","#migliarino",20,"Places"
"45","#piogge",20,"Weather"
"46","#pontremoli",20,"Places"
"47","#liguria",19,"Places"
"48","#pistoia",19,"Places"
"49","#grosseto",18,"Places"
"50","#trenitalia",18,"Institution"
"51","#zeri",17,"Places"
"52","#follonica",16,"Places"
"53","#protezionecivile",16,"Emergency"
"54","#vigilanzameteotos",16,"Emergency"
"55","#allertameteo",15,"Emergency"
"56","#ginestra",14,"Places"
"57","#cisa",13,"Mobility"
"58","#vecchiano",12,"Places"
"59","#a1",11,"Mobility"
"60","#alluvione",11,"Emergency"
"61","#arno",11,"Places"
"62","#monterotondo",11,"Places"
"63","#allertameteoer",10,"Emergency"
"64","#sarzana",10,"Places"
"65","#massamarittima",9,"Places"
"66","#rosignano",9,"Places"
"67","#ss62",9,"Mobility"
"68","#wikiclima",9,"Weather"
"69","#parmignola",8,"Places"
"70","#pratopioggia",8,"Places"
"71","#quercianella",8,"Places"
"72","#scuole",8,"others"
"73","#socialprociv",8,"Emergency"
"74","#ss63",8,"Mobility"
"75","#abetone",7,"Places"
"76","#casano",7,"Places"
"77","#cerreto",7,"Places"
"78","#cfr",7,"Institution"
"79","#marsiliana",7,"Places"
"80","#piombino",7,"Places"
"81","#roma",7,"Places"
"82","#uffizi",7,"Institution"
"83","#allagamenti",6,"Emergency"
"84","#amiata",6,"Places"
"85","#castelfiorentino",6,"Places"
"86","#criticità",6,"others"
"87","#elbaallagata",6,"Emergency"
"88","#fucecchio",6,"Places"
"89","#fulmine",6,"Weather"
"90","#maltempotos",6,"Weather"
"91","#manciano",6,"Places"
"92","#siena",6,"Places"
"93","#valdicornia",6,"Places"
"94","#viareggio",6,"Places"
"95","#zonarossa",6,"Emergency"
"96","#allertameteopm",5,"Emergency"
"97","#chioma",5,"Places"
"98","#galilei",5,"Mobility"
"99","#garfagnana",5,"Places"
"100","#lazio",5,"Places"
"101","#orbetello",5,"Places"
"102","#pienapo",5,"Emergency"
"103","#pietrasanta",5,"Places"
"104","#riomarina",5,"Places"
"105","#scarlino",5,"Places"
"106","#v",5,"others"
"107","#valdarno",5,"Places"
"108","#valdicecina",5,"Places"
"109","#verrazzano",5,"Places"
"110","#vigilanza",5,"Weather"
"111","#a11",4,"Mobility"
"112","#allertameteolaz",4,"Emergency"
"113","#allertameteopie",4,"Emergency"
"114","#allertameteorm",4,"Emergency"
"115","#arezzo",4,"Places"
"116","#bratto",4,"Places"
"117","#castelnuovo",4,"Places"
"118","#filattiera",4,"Places"
"119","#fivizzano",4,"Places"
"120","#goodnews",4,"others"
"121","#impruneta",4,"Places"
"122","#magra",4,"Places"
"123","#marina",4,"Places"
"124","#marinadicarrara",4,"Places"
"125","#minucciano",4,"Places"
"126","#montevarchi",4,"Places"
"127","#ombrone",4,"Places"
"128","#ordinanza",4,"others"
"129","#piove",4,"Weather"
"130","#scandicci",4,"Places"
"131","#sp106",4,"Mobility"
"132","#sp172",4,"Mobility"
"133","#sp39",4,"Mobility"
"134","#sr74",4,"Mobility"
"135","#ss12",4,"Mobility"
"136","#ss223",4,"Mobility"
"137","#vicarello",4,"Places"
"138","#allertameteolom",3,"Emergency"
"139","#allertameteosar",3,"Emergency"
"140","#allertemeteo",3,"Emergency"
"141","#attività",3,"others"
"142","#camaiore",3,"Places"
"143","#capalbio",3,"Places"
"144","#centro",3,"others"
"145","#corsica",3,"Places"
"146","#crowdsourcing",3,"others"
"147","#famiglie",3,"others"
"148","#fosdinovo",3,"Places"
"149","#negozi",3,"others"
"150","#p",3,"others"
"151","#pis",3,"others"
"152","#pontremo",3,"others"
"153","#prevenzione",3,"others"
"154","#regione",3,"Institution"
"155","#sorano",3,"Places"
"156","#ss432",3,"Mobility"
"157","#uffici",3,"others"
