"","mentions","freq","cat"
"1","muoversintoscan",607,"Institution"
"2","flash_meteo",490,"Weather"
"3","iltirreno",242,"Media"
"4","provinciams",154,"Institution"
"5","3bmeteo",143,"Weather"
"6","cesipcrosignano",90,"Institution"
"7","allertameteolig",79,"Weather"
"8","prov_fi_pc",60,"Institution"
"9","provincia_lucca",59,NA
"10","provinciagr",53,NA
"11","protcmontignoso",47,"Institution"
"12","comunerioelba",38,"Institution"
"13","valencaffieri",38,"others"
"14","pisainforma",36,NA
"15","capitanachab",34,"others"
"16","landucci_v",33,"others"
"17","misepferraio",31,"Volunteer_NGO"
"18","qn_lanazione",31,"Media"
"19","comunefi",28,"Institution"
"20","anbarone",27,"others"
"21","procivseravezza",27,"Institution"
"22","rossipresidente",27,"Institution"
"23","amtoscana",25,"Weather"
"24","wwwmeteoit",23,"Weather"
"25","francescanacini",22,"others"
"26","50canalenews",21,"Media"
"27","arezzoprovincia",20,NA
"28","comune_sgt",20,NA
"29","giornaleprociv",19,"Media"
"30","comunemontelupo",18,"Institution"
"31","protcivnews",18,"Media"
"32","turiniale",18,"others"
"33","comunecamaiore",16,"Institution"
"34","comune_pistoia",16,"Institution"
"35","m",16,NA
"36","allertameteoit",15,"Weather"
"37","comunelivorno",15,NA
"38","ba_bars",14,"others"
"39","fbrancoli",14,"others"
"40","valenitna",14,"others"
"41","youreporter",13,"Media"
"42","fsnews_it",12,NA
"43","iltirrenoprato",12,"Media"
"44","toscananotizie",12,"Media"
"45","clavecoli",11,"others"
"46","darioballini",11,"others"
"47","ossmeteobargone",11,"Weather"
"48","pr",11,NA
"49","prociv_mont",11,"Institution"
"50","anpasnazionale",10,"Volunteer_NGO"
"51","cristianomeoni",10,"others"
"52","provinciapisa",10,NA
"53","toscanamedianew",10,"Media"
"54","matteobernabe",9,"others"
"55","comunemarciana",8,NA
"56","procivcomunepi",8,"Institution"
"57","com",7,NA
"58","elisabettagio10",7,"others"
"59","lacona",7,NA
"60","marinadicampo",7,NA
"61","protcivilecg",7,"Institution"
"62","salaop",7,"Institution"
"63","comuneempoli",6,"Institution"
"64","comunepiombino",6,NA
"65","lambardilorenzo",6,"others"
"66","bluenod",5,NA
"67","castellonews",5,"Media"
"68","cciss_ministero",5,NA
"69","comuneorbetello",5,"Institution"
"70","ilgiunco",5,"Media"
"71","lecchinimichele",5,"others"
"72","noitv",5,"Media"
"73","provin",5,NA
"74","sindacoaulla",5,"Institution"
"75","tirrenoversilia",5,"Media"
"76","caputliberum",4,NA
"77","cesarebm",4,NA
"78","davidbiuzzi",4,"others"
"79","gonews_it",4,"Media"
"80","iltirrenoelba",4,"Media"
"81","lapaginaq",4,"Media"
"82","miti_vigliero",4,"others"
"83","protcivsestofi",4,"Institution"
"84","provincia_lu",4,NA
"85","ti",4,NA
"86","ttnews24",4,"Media"
"87","tvprato",4,NA
"88","agenziaimpress",3,"Media"
"89","alessioarge",3,"others"
"90","an",3,NA
"91","anpastoscana",3,"Volunteer_NGO"
"92","ansatoscana",3,NA
"93","bluelba",3,"others"
"94","caleochi",3,"others"
"95","giaguaro73",3,"others"
"96","iltirrenopisa",3,"Media"
"97","lucalombroso",3,"Weather"
"98","lucialivatino",3,"others"
"99","p",3,NA
"100","piananotizie",3,NA
"101","pontremoli",3,NA
"102","radiotoscana",3,NA
"103","sal",3,NA
"104","sml2020",3,"others"
"105","tgla7",3,NA
"106","tirrenoprovpisa",3,"Media"
"107","toscana24news",3,"Media"
"108","agorarai",2,NA
"109","andreaciumei",2,NA
"110","castelnuovom",2,NA
"111","classmeteo",2,"Weather"
"112","comunedivernio",2,NA
"113","deldottosindaco",2,"others"
"114","emergenza24",2,"Volunteer_NGO"
"115","francescatao",2,"others"
"116","gasperiniluca",2,"others"
"117","gciappelli",2,"others"
"118","giovannamezzana",2,"others"
"119","igportoferraio",2,"others"
"120","ilariolarosageo",2,"others"
"121","jemalaussene",2,"others"
"122","jeperego",2,"others"
"123","lonnivora",2,"others"
"124","luca_centini",2,"others"
"125","lucagattuso",2,"others"
"126","melonisimone",2,"others"
"127","misericordie1",2,"Volunteer_NGO"
"128","m_nanny",2,"others"
"129","montevarchi",2,"Institution"
"130","pisaconnection",2,NA
"131","protcivcomunefi",2,"Institution"
"132","provincialivorn",2,NA
"133","provinciamsallertameteotos",2,NA
"134","provinciapis",2,NA
"135","provincia_prato",2,NA
"136","pubasssigna",2,"Volunteer_NGO"
"137","quinewslucca",2,NA
"138","radiotoscanaweb",2,NA
"139","rainews",2,NA
"140","rinobucci",2,"others"
"141","rondyne",2,"others"
"142","spreaker",2,NA
"143","unipisa",2,NA
"144","vabprato",2,NA
"145","1marcoo",1,"others"
"146","acquespa",1,NA
"147","andrea_ciumei",1,NA
"148","anpascecina",1,NA
"149","bluelake76",1,"others"
"150","cinziamas",1,"others"
"151","comunecampib",1,NA
"152","comunegrosseto",1,NA
"153","comuneportoferr",1,NA
"154","comunequarrata",1,NA
"155","comunerosignano",1,"Institution"
"156","comunescansano",1,NA
"157","controradio",1,"Media"
"158","corrierefirenze",1,"Media"
"159","criliguria",1,NA
"160","ecostenibile",1,NA
"161","elbameteo",1,"Weather"
"162","erasmodangelis",1,"others"
"163","firenzepost",1,"Media"
"164","flash_meteoallertameteotos",1,NA
"165","flavio_mfm",1,NA
"166","fontax91",1,"others"
"167","francepicci",1,"others"
"168","giornale",1,NA
"169","h24valdicecina",1,"Institution"
"170","il",1,NA
"171","ilmanifesto",1,NA
"172","indivanados",1,NA
"173","itconti",1,"others"
"174","_juhan",1,NA
"175","liguriameteo",1,NA
"176","_marcorovelli_",1,NA
"177","matdepaoli",1,NA
"178","meteopisa",1,NA
"179","meteoweb_eu",1,NA
"180","micheledalena",1,"others"
"181","mimidef",1,"others"
"182","misetoscana",1,NA
"183","monica_paffetti",1,NA
"184","m_tesconi",1,NA
"185","nico_lazz",1,NA
"186","no_cqrt",1,NA
"187","nostalgia_fm",1,NA
"188","notiziediprato",1,NA
"189","patcave",1,"others"
"190","pisainfo",1,NA
"191","pisatoday",1,"Media"
"192","por",1,NA
"193","portoazzurroapp",1,NA
"194","pratosmart",1,"others"
"195","primocanale",1,NA
"196","purpleleni",1,"others"
"197","quigrosseto",1,"Media"
"198","rep_firenze",1,NA
"199","retenergie",1,NA
"200","riskiomap",1,"others"
"201","romaneapolis",1,"others"
"202","rosaliaaversa",1,NA
"203","rtl1025",1,NA
"204","rugge",1,NA
"205","ruggerobarbetti",1,NA
"206","sienafree",1,NA
"207","spviadalcarbone",1,NA
"208","tigella",1,NA
"209","vabcollinemedic",1,"others"
"210","vivigrosseto",1,NA
"211","yoskinicimento",1,NA
