"message","retweetCount","retweeted_authors","data"
"Alluvione a #Chiavari. Massima allerta anche per la Toscana
►http://t.co/0nIxDBQ5iK
#allertameteoLIG #allertameteoTOS http://t.co/DgvkMg9tgc",94,"3BMeteo","2014-11-10"
"RT @3BMeteo: Alluvione a #Chiavari. Massima allerta anche per la Toscana
►http://t.co/0nIxDBQ5iK
#allertameteoLIG #allertameteoTOS http://t…",94,"giosivi","2014-11-10"
"#allertameteoTOS: domani allerta arancio per piogge e temporali su tutta la Toscana, ROSSA su bacino Albegna  (GR) http://t.co/QVWLgzWUp4",29,"flash_meteo","2014-11-04"
"RT @flash_meteo: #allertameteoTOS: domani allerta arancio per piogge e temporali su tutta la Toscana, ROSSA su bacino Albegna  (GR) http://…",29,"LucaLombroso","2014-11-04"
"#allertameteoLIG #allertameteoTOS temporali in corso sul levante e in mare di fronte a La Spezia e litorale toscano http://t.co/1fwk7okrWI",28,"AllertaMeteoLIG","2014-11-09"
"RT @AllertaMeteoLIG: #allertameteoLIG #allertameteoTOS temporali in corso sul levante e in mare di fronte a La Spezia e litorale toscano ht…",28,"ansa_liguria","2014-11-09"
"#Chiavariallagata e #Genova sembra bombardata. #allertameteoLIG #allertameteoTOS terrorizzano cittadini e voi parlate di #denunciailpatto?",27,"anbarone","2014-11-10"
"#allertameteoTOS Forti temporali in Toscana dalla tarda mattinata/primo pomeriggio a partire da nord-ovest. http://t.co/rssgewx5IZ",23,"flash_meteo","2014-11-15"
"RT @AllertaMeteoLIG: #allertameteoLIG #allertameteoTOS 00:51 aggiornamento celle temporalesche in corso http://t.co/EP2fQ2bZ7l",23,"Genova4Tourist","2014-11-10"
"#allertameteoTOS rovesci in atto nelle zone interne. http://t.co/bPOsq9lcuS",22,"flash_meteo","2014-11-15"
"RT @flash_meteo: #allertameteoTOS rovesci in atto nelle zone interne. http://t.co/bPOsq9lcuS",22,"italia_sicura","2014-11-15"
