"category","NfreqLIG","N_uniqueLIG","NfreqTOS","N_uniqueTOS","NfreqPIE","N_uniquePIE"
"Emergency","37452","348","3757","107","3591","124"
"Institution","401","112","54","14","88","25"
"Media","131","35","1","1","2","2"
"Mobility","383","57","349","46","54","31"
"others","2607","574","123","56","343","73"
"Outside_Places","1635","133","673","72","437","74"
"Places","22453","861","2574","337","1047","199"
"Social_Media","29","8","3","3",NA,NA
"Time","13","7",NA,NA,NA,NA
"Weather","2549","116","495","76","248","25"
