"data","retweeted_authors","authors"
"2014-11-03",NA,"LoZibra"
"2014-11-03",NA,"AnpasPiemonte"
"2014-11-03",NA,"lesherbes"
"2014-11-03",NA,"Miriam8112"
"2014-11-03",NA,"ArpaPiemonte"
"2014-11-03",NA,"putredine"
"2014-11-03",NA,"Miriam8112"
"2014-11-03",NA,"AnpasPiemonte"
"2014-11-03",NA,"AnpasPiemonte"
"2014-11-03",NA,"provinciacuneo"
"2014-11-03",NA,"provinciacuneo"
"2014-11-03",NA,"PiemonteInforma"
"2014-11-03",NA,"provinciacuneo"
"2014-11-03",NA,"diAlessandria"
"2014-11-03",NA,"Tanargue"
"2014-11-03",NA,"SimoSteve91"
"2014-11-03",NA,"luca_bracco"
"2014-11-03",NA,"nastrorosa"
"2014-11-03",NA,"icioweb73"
"2014-11-03",NA,"l_lovelli"
"2014-11-03",NA,"topedobis"
"2014-11-03",NA,"ArpaPiemonte"
"2014-11-03",NA,"ArpaPiemonte"
"2014-11-03",NA,"ValenCaffieri"
"2014-11-03",NA,"ArpaPiemonte"
"2014-11-03",NA,"AlexandrNevskij"
"2014-11-03",NA,"AlexandrNevskij"
"2014-11-03",NA,"ComuneMontelupo"
"2014-11-03",NA,"CRIcuneo"
"2014-11-03",NA,"CRIcuneo"
"2014-11-03",NA,"Crinova"
"2014-11-03",NA,"ITnewsCN"
"2014-11-03",NA,"CRIcuneo"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"tifizifiafanafa"
"2014-11-04",NA,"Felixia75"
"2014-11-04",NA,"tifizifiafanafa"
"2014-11-04",NA,"BLOGRADIOTV"
"2014-11-04",NA,"tifizifiafanafa"
"2014-11-04",NA,"PaolaMilani1"
"2014-11-04",NA,"Michelerussoing"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"LaRiStampa2014"
"2014-11-04",NA,"LiberiParty"
"2014-11-04",NA,"CostrIlFuturo"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"paoladelusa"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"rptmtt"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"pataciuffi"
"2014-11-04",NA,"RivMaAus"
"2014-11-04",NA,"dadadanix"
"2014-11-04",NA,"archEsposito"
"2014-11-04",NA,"gNellerba"
"2014-11-04",NA,"vittoriopasteris"
"2014-11-04",NA,"archEsposito"
"2014-11-04",NA,"nastrorosa"
"2014-11-04",NA,"Ossmeteobargone"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"D1_Eg0"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"tony_dalessio"
"2014-11-04",NA,"novajoinfo"
"2014-11-04",NA,"MarilenaLualdi"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"SimonaBellarmin"
"2014-11-04",NA,"SimonaBellarmin"
"2014-11-04",NA,"LuisaGuidotti"
"2014-11-04",NA,"francescosgold"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"annaljsa"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"solops"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"BraPiemonte"
"2014-11-04",NA,"branotizie"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"BraPiemonte"
"2014-11-04",NA,"claudiutza_"
"2014-11-04",NA,"LPeyretti"
"2014-11-04",NA,"solops"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"tony_dalessio"
"2014-11-04",NA,"tony_dalessio"
"2014-11-04",NA,"solops"
"2014-11-04",NA,"sieynard"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"novajoinfo"
"2014-11-04",NA,"vittoriopasteris"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Michelerussoing"
"2014-11-04",NA,"FulgenzioB"
"2014-11-04",NA,"solops"
"2014-11-04",NA,"branotizie"
"2014-11-04",NA,"provinciacuneo"
"2014-11-04",NA,"Ossmeteobargone"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"provinciacuneo"
"2014-11-04",NA,"provinciacuneo"
