"","hashtag","freq","cat"
"1","#allertameteoLIG",29957,"Emergency"
"2","#Genova",4396,"Places"
"3","#Chiavari",1897,"Places"
"4","#alluvionegenova",1466,"Emergency"
"5","#genova",1306,"Places"
"6","#allerta2",991,"Emergency"
"7","#Liguria",619,"Places"
"8","#polcevera",481,"Places"
"9","#Albenga",442,"Places"
"10","#maltempo",422,"Weather"
"11","#alluvioneLiguria",416,"Emergency"
"12","#liguria",400,"Places"
"13","#Voltri",384,"Places"
"14","#alluvione",354,"Emergency"
"15","#allertameteoTOS",335,"Emergency"
"16","#allertagenova",325,"Emergency"
"17","#Cerusa",316,"Places"
"18","#alluvioneChiavari",295,"Emergency"
"19","#Bisagno",285,"Places"
"20","#news",277,"others"
"21","#Lavagna",273,"Places"
"22","#Alluvione",270,"Emergency"
"23","#Savona",265,"Places"
"24","#Entella",264,"Places"
"25","#Alassio",261,"Places"
"26","#allertameteoGenova",221,"Emergency"
"27","#Imperia",218,"Places"
"28","#allerta1",184,"Emergency"
"29","#NUMEROVERDE",182,"Emergency"
"30","#Busalla",181,"Places"
"31","#Polcevera",181,"Places"
"32","#Andora",180,"Places"
"33","#Carasco",170,"Places"
"34","#chiavari",167,"Places"
"35","#PietraLigure",165,"Places"
"36","#voltri",161,"Places"
"37","#allertameteoGE",146,"Emergency"
"38","#ForzaLiguria",146,"Places"
"39","#Leivi",139,"Places"
"40","#Campomorone",138,"Places"
"41","#allertameteo",134,"Emergency"
"42","#glocal14",131,"others"
"43","#AllertameteoGenova",122,"Emergency"
"44","#savona",121,"Places"
"45","#allertameteoPIE",120,"Emergency"
"46","#allerta",118,"Emergency"
"47","#ViaFereggiano",118,"Places"
"48","#poveraItalia",112,"others"
"49","#sestriponente",112,"Places"
"50","#Maltempo",110,"Weather"
"51","#alluvionechiavari",106,"Emergency"
"52","#meteo",104,"Weather"
"53","#Albisola",103,"Places"
"54","#sapevatelo",101,"others"
"55","#Allerta2",98,"Emergency"
"56","#Garlenda",97,"Places"
"57","#Italia",95,"others"
"58","#allertameteoPM",94,"Emergency"
"59","#trombe",94,"others"
"60","#protezionecivile",92,"Institution"
"61","#fereggiano",91,"Places"
"62","#valpolcevera",91,"Places"
"63","#nonpuopioverepersempre",88,"others"
"64","#SanFruttuoso",86,"Places"
"65","#cerusa",84,"Places"
"66","#AllertaMeteo2",83,"Emergency"
"67","#allertameteogenova",83,"Emergency"
"68","#allertameteoLOM",81,"Emergency"
"69","#LaSpezia",80,"Places"
"70","#genovavoltri",79,"Places"
"71","#laspezia",75,"Places"
"72","#VadoLigure",75,"Places"
"73","#Pegli",70,"Places"
"74","#allertameteoSV",68,"Emergency"
"75","#cantarena",67,"Places"
"76","#Seveso",67,"Places"
"77","#allertaLIG",66,"Emergency"
"78","#Fereggiano",66,"Places"
"79","#fuoridalleuro",66,"others"
"80","#fango",65,"Emergency"
"81","#alluvionevalpolcevera",63,"Emergency"
"82","#AlluvioneGenova",62,"Emergency"
"83","#Ceriale",62,"Places"
"84","#dissestoLIG",60,"Emergency"
"85","#Varigotti",60,"Places"
"86","#alassio",59,"Places"
"87","#imperia",59,"Places"
"88","#Milano",56,"Places"
"89","#bolzaneto",55,"Places"
"90","#allertamet",54,"others"
"91","#Sampierdarena",54,"Places"
"92","#Sanremo",53,"Places"
"93","#Quirico",51,"Places"
"94","#bisagno",50,"Places"
"95","#frane",50,"Emergency"
"96","#mignanego",49,"Places"
"97","#pontedecimo",49,"Places"
"98","#Varazze",48,"Places"
"99","#a7",47,"Mobility"
"100","#allertage",47,"Emergency"
"101","#Spezia",47,"Places"
"102","#Allagamenti",46,"Emergency"
"103","#frana",46,"Emergency"
"104","#temporale",46,"Weather"
"105","#FinaleLigure",45,"Places"
"106","#Rapallo",45,"Places"
"107","#valbisagno",45,"Places"
"108","#Zoagli",45,"Places"
"109","#trovalalanterna",44,"others"
"110","#Valbisagno",44,"Places"
"111","#alluvionege",42,"Emergency"
"112","#autostrada",42,"Mobility"
"113","#Allerta",41,"Emergency"
"114","#ALLERTA2",41,"Emergency"
"115","#Bergeggi",41,"Places"
"116","#Bolzaneto",41,"Places"
"117","#Cronacameteo",41,"Weather"
"118","#Pontedecimo",41,"Places"
"119","#Rossiglione",41,"Places"
"120","#alluvioneGenova",39,"Emergency"
"121","#Mignanego",39,"Places"
"122","#CHIAVARI",38,"Places"
"123","#Fabbriche",38,"others"
"124","#lavagna",38,"Places"
"125","#Montoggio",37,"Places"
"126","#ortonovo",37,"Places"
"127","#pegli",37,"Places"
"128","#a12",36,"Mobility"
"129","#Ortonovo",36,"Places"
"130","#Stura",35,"Places"
"131","#Gabrielli",34,"Institution"
"132","#GenovaQuinto",33,"Places"
"133","#sampierdarena",33,"Places"
"134","#SerraRiccò",33,"Places"
"135","#acqui",32,"Places"
"136","#celleligure",32,"Places"
"137","#hmrd",32,"others"
"138","#CinqueTerre",31,"Places"
"139","#A7",30,"Mobility"
"140","#alluvi",30,"others"
"141","#buongiorno",30,"others"
"142","#Carrara",30,"Places"
"143","#chiaravagna",30,"Places"
"144","#Frana",30,"Emergency"
"145","#PROTEZIONECIVILE",30,"Institution"
"146","#zoagli",30,"Places"
"147","#AlluvioneLiguria",29,"Emergency"
"148","#piazzapulita",29,"Media"
"149","#Pompeiana",29,"Places"
"150","#trensasco",29,"Places"
"151","#Chiavariallagata",28,"Emergency"
"152","#Grandinata",28,"Weather"
"153","#busalla",27,"Places"
"154","#den",27,"others"
"155","#Gavette",27,"Places"
"156","#noncipossocredere",27,"others"
"157","#Rovare",27,"Places"
"158","#SerraRicco",27,"Places"
"159","#binari",26,"Mobility"
"160","#Casella",26,"Places"
"161","#Gaulli",26,"Places"
"162","#Manuzio",26,"Places"
"163","#Maremola",26,"Places"
"164","#visitpietraligure",26,"Places"
"165","#COC",25,"Emergency"
"166","#DIANO",25,"Places"
"167","#Noli",25,"Places"
"168","#Ovada",24,"Places"
"169","#Piemonte",24,"Places"
"170","#ALLERTA1",23,"Emergency"
"171","#campomorone",23,"Places"
"172","#ceriale",23,"Places"
"173","#coltri",23,"others"
"174","#Massa",23,"Places"
"175","#ProtezioneCivile",23,"Institution"
"176","#Toscana",23,"Places"
"177","#TovoSanGiacomo",23,"Places"
"178","#allertaGenova",22,"Emergency"
"179","#esondazione",22,"Emergency"
"180","#Po",22,"Places"
"181","#albenga",21,"Places"
"182","#allertameteoLAZ",21,"Emergency"
"183","#allertameteoSAR",21,"Emergency"
"184","#Loano",21,"Places"
"185","#allertame",20,"others"
"186","#arenzano",20,"Places"
"187","#comunegenova",20,"Places"
"188","#pietraligure",20,"Places"
"189","#struppa",20,"Places"
"190","#Valfontanabuona",20,"Places"
"191","#viabilità",20,"Mobility"
"192","#A10",19,"Mobility"
"193","#agorarai",19,"others"
"194","#Arenzano",19,"Places"
"195","#CelleLigure",19,"Places"
"196","#genovaresisti",19,"Places"
"197","#Lombardia",19,"Places"
"198","#nervi",19,"Places"
"199","#roncoscrivia",19,"Places"
"200","#Struppa",19,"Places"
"201","#Tigullio",19,"Places"
"202","#Ventimiglia",19,"Places"
"203","#allagamenti",18,"Emergency"
"204","#ForzaZena",18,"others"
"205","#valdimagra",18,"Places"
"206","#bergeggi",17,"Places"
"207","#ferreggiano",17,"Places"
"208","#Giovi",17,"Places"
"209","#Lambro",17,"Places"
"210","#live",17,"others"
"211","#mappamentale",17,"others"
"212","#notte",17,"others"
"213","#TorSapienza",17,"Places"
"214","#vadoligure",17,"Places"
"215","#castelnuovomagra",16,"Places"
"216","#finale",16,"Places"
"217","#Italien",16,"others"
"218","#Numero",16,"others"
"219","#Renzi",16,"Institution"
"220","#rugby",16,"others"
"221","#UE",16,"Institution"
"222","#Unwetter",16,"others"
"223","#Veilino",16,"others"
"224","#ALLERTA",15,"Emergency"
"225","#allertameteoliguria",15,"Emergency"
"226","#Amt",15,"Mobility"
"227","#Arpal",15,"Institution"
"228","#Borzonasca",15,"Places"
"229","#Campo",15,"Places"
"230","#Ligure",15,"Places"
"231","#Mancini",15,"others"
"232","#molassana",15,"Places"
"233","#orabasta",15,"others"
"234","#scuole",15,"others"
"235","#sestrilevante",15,"Places"
"236","#SestriPonente",15,"Places"
"237","#treni",15,"Mobility"
"238","#Valbrevenna",15,"Places"
"239","#A26",14,"Mobility"
"240","#AlluvioneGe",14,"Emergency"
"241","#Cogorno",14,"Places"
"242","#direttameteo",14,"Weather"
"243","#finaleligure",14,"Places"
"244","#liguriameteo14nov",14,"Places"
"245","#quezzi",14,"Places"
"246","#Rupinaro",14,"Places"
"247","#s",14,"others"
"248","#Torino",14,"Places"
"249","#allertafumàsseLIG",13,"others"
"250","#Ameglia",13,"Places"
"251","#bus",13,"Mobility"
"252","#Geno",13,"others"
"253","#IdroTigullio",13,"Places"
"254","#Ponente",13,"Places"
"255","#Protzionecivile",13,"Institution"
"256","#sarzana",13,"Places"
"257","#ventimiglia",13,"Places"
"258","#visitriviera",13,"others"
"259","#webcam",13,"others"
"260","#all",12,"others"
"261","#AllarmeMeteoTOS",12,"Emergency"
"262","#Bordighera",12,"Places"
"263","#Ceranesi",12,"Places"
"264","#cornigliano",12,"Places"
"265","#Finale",12,"Places"
"266","#gazebo",12,"others"
"267","#LiguriaFragile",12,"Places"
"268","#Magra",12,"Places"
"269","#mele",12,"Places"
"270","#Parmignola",12,"Places"
"271","#pioggia",12,"Weather"
"272","#RotturaTuboGas",12,"Emergency"
"273","#Sarzana",12,"Places"
"274","#sciopero",12,"others"
"275","#Social",12,"Social_Media"
"276","#tg",12,"Media"
"277","#a",11,"others"
"278","#albissolamarina",11,"Places"
"279","#Aller",11,"others"
"280","#arquata",11,"Places"
"281","#auto",11,"Mobility"
"282","#Borghetto",11,"Places"
"283","#carrara",11,"Places"
"284","#Doria",11,"Places"
"285","#InfobluTraffic",11,"Media"
"286","#Laigueglia",11,"Places"
"287","#leivi",11,"Places"
"288","#Mezzanego",11,"Places"
"289","#previsioni",11,"Weather"
"290","#roma",11,"Places"
"291","#SantaMargherita",11,"Places"
"292","#Scassi",11,"others"
"293","#scuola",11,"others"
"294","#siamodinuovosottacqua",11,"others"
"295","#Teiro",11,"Places"
"296","#temporali",11,"Weather"
"297","#a10",10,"Mobility"
"298","#Arquata",10,"Places"
"299","#canevari",10,"Places"
"300","#certosa",10,"Places"
"301","#Cogoleto",10,"Places"
"302","#Esercito",10,"Emergency"
"303","#esondazioni",10,"Emergency"
"304","#Fontanabuona",10,"Places"
"305","#Genovese",10,"Places"
"306","#grandinata",10,"Weather"
"307","#importante",10,"others"
"308","#milano",10,"Places"
"309","#MioDioChiavari",10,"Places"
"310","#NoviL",10,"others"
"311","#ora",10,"others"
"312","#Paita",10,"Institution"
"313","#ponente",10,"Places"
"314","#Primocanale",10,"Media"
"315","#SanColombanoCertenoli",10,"Places"
"316","#Spotorno",10,"Places"
"317","#Staglieno",10,"Places"
"318","#strade",10,"Mobility"
"319","#Treni",10,"Mobility"
"320","#Eumetsat",9,"Weather"
"321","#foce",9,"others"
"322","#FORZA",9,"others"
"323","#GenovaResisti",9,"Places"
"324","#Lerici",9,"Places"
"325","#Levanto",9,"Places"
"326","#MTVStars",9,"Media"
"327","#Nice06",9,"others"
"328","#Santamargherita",9,"Places"
"329","#trenitalia",9,"Institution"
"330","#Varatella",9,"Places"
"331","#17novembre",8,"Time"
"332","#Allerta1",8,"Emergency"
"333","#Allertagenova",8,"Emergency"
"334","#allertameteoER",8,"Emergency"
"335","#allu",8,"others"
"336","#alluv",8,"others"
"337","#AlluvioneChiavari",8,"Emergency"
"338","#alluvioneLi",8,"others"
"339","#arpal",8,"Institution"
"340","#BentornatoMancio",8,"others"
"341","#Campochiesa",8,"Places"
"342","#castelletto",8,"Places"
"343","#celle",8,"Places"
"344","#ceramica",8,"others"
"345","#Chiusi",8,"Places"
"346","#emergenzaGE",8,"Emergency"
"347","#emergenzaLIG",8,"Emergency"
"348","#Facebook",8,"Social_Media"
"349","#forzaChiavari",8,"Places"
"350","#lerici",8,"Places"
"351","#levante",8,"Places"
"352","#Levante",8,"Places"
"353","#mappa",8,"others"
"354","#museo",8,"others"
"355","#PortoVenere",8,"Places"
"356","#primocanale",8,"Media"
"357","#Protezionecivile",8,"Institution"
"358","#Ramognina",8,"Places"
"359","#rapallo",8,"Places"
"360","#renzi",8,"Institution"
"361","#Report",8,"Media"
"362","#Roma",8,"Places"
"363","#Savonese",8,"Places"
"364","#Sopraelevata",8,"Mobility"
"365","#Stella",8,"others"
"366","#TgLa7",8,"Media"
"367","#tigullio",8,"Places"
"368","#Tursi",8,"Places"
"369","#ValBisagno",8,"Places"
"370","#ViaAdamoli",8,"Places"
"371","#Abenga",7,"Places"
"372","#agenova",7,"Places"
"373","#allertameteosv",7,"Emergency"
"374","#AllertaMeteoTOS",7,"Emergency"
"375","#alluvio",7,"others"
"376","#alluvion",7,"others"
"377","#Altare",7,"others"
"378","#AltaValPolcevera",7,"Places"
"379","#Angelidelfango",7,"Emergency"
"380","#bisogno",7,"others"
"381","#BorghettoVara",7,"Places"
"382","#BreakingNews",7,"others"
"383","#caderissi",7,"Places"
"384","#Carpasio",7,"Places"
"385","#Casano",7,"Places"
"386","#CastelnuovoMagra",7,"Places"
"387","#Chi",7,"others"
"388","#cinqueterre",7,"Places"
"389","#fiumara",7,"Places"
"390","#genovaest",7,"Places"
"391","#HLVS",7,"others"
"392","#maalox",7,"others"
"393","#Marinella",7,"Places"
"394","#meteospezia17NOV",7,"Places"
"395","#nonsenepuòpiù",7,"others"
"396","#Oneglia",7,"Places"
"397","#Ortovero",7,"Places"
"398","#PODEMOS",7,"others"
"399","#Prà",7,"others"
"400","#SestriLevante",7,"Places"
"401","#Spezzino",7,"Places"
"402","#streaming",7,"others"
"403","#Taggia",7,"Places"
"404","#teiro",7,"Places"
"405","#torino",7,"Places"
"406","#vicoli",7,"Mobility"
"407","#allertameteoFVG",6,"Emergency"
"408","#AllertaMeteoPIE",6,"Emergency"
"409","#allertametoTOS",6,"Emergency"
"410","#attenzione",6,"others"
"411","#bastapioggia",6,"Weather"
"412","#Berlusconi",6,"Institution"
"413","#beverinocastello",6,"Places"
"414","#Boissano",6,"Places"
"415","#CampoLigure",6,"Places"
"416","#Carcare",6,"Places"
"417","#Castelletto",6,"Places"
"418","#Chiava",6,"others"
