"","hashtag","freq","cat"
"1","#allertameteoPM",2193,"Emergency"
"2","#allertameteoPIE",846,"Emergency"
"3","#allertameteoLIG",212,"Emergency"
"4","#maltempo",172,"Weather"
"5","#Alessandria",103,"Places"
"6","#Piemonte",78,"Places"
"7","#Viabilità",58,"others"
"8","#allertameteo",56,"Emergency"
"9","#allertameteoP",50,"others"
"10","#orba",50,"Places"
"11","#predosa",50,"Places"
"12","#arquatascrivia",49,"Places"
"13","#Po",49,"Places"
"14","#allertameteoLOM",48,"Emergency"
"15","#a",42,"others"
"16","#Alessandrino",41,"Places"
"17","#gavi",41,"Places"
"18","#allertame",40,"others"
"19","#verbania",40,"Places"
"20","#AllertaMeteoPIE",35,"Emergency"
"21","#protezionecivile",31,"Institution"
"22","#allerta",28,"Emergency"
"23","#Maltempo",28,"Weather"
"24","#allertameteoPm",26,"Emergency"
"25","#Torino",26,"Places"
"26","#all",25,"others"
"27","#piemonte",24,"Places"
"28","#meteo",23,"Weather"
"29","#alle",20,"others"
"30","#ArpaPiemonte",20,"Institution"
"31","#allertameteoPUG",17,"Emergency"
"32","#pioggia",17,"Weather"
"33","#Tanaro",17,"Places"
"34","#alluvioneChiavari",16,"Emergency"
"35","#Chiavari",16,"Places"
"36","#Murazzi",14,"Places"
"37","#Cuneo",13,"Places"
"38","#Genova",13,"Places"
"39","#LagoMaggiore",13,"Places"
"40","#Nizza",13,"Places"
"41","#SpinettaMarengo",13,"Places"
"42","#allert",12,"others"
"43","#Gavi",12,"Places"
"44","#Ovada",11,"Places"
"45","#torino",11,"Places"
"46","#VCO",11,"Places"
"47","#allertamete",10,"others"
"48","#allertameteotanaro",10,"Places"
"49","#BassoAlessandrino",9,"Places"
"50","#lagomaggiore",9,"Places"
"51","#omegna",9,"Places"
"52","#Omegna",9,"Places"
"53","#allertamet",8,"others"
"54","#allertameteoL",8,"others"
"55","#allertameteoTOS",8,"Emergency"
"56","#AlluvioneLiguria",8,"Emergency"
"57","#CroceRossa",8,"Institution"
"58","#cuneo",8,"Places"
"59","#Novara",8,"Places"
