"","hashtag","freq","cat"
"1","#allertameteoPM",667,"Emergency"
"2","#allertameteoPIE",244,"Emergency"
"3","#maltempo",63,"Weather"
"4","#allertameteoLIG",55,"Emergency"
"5","#Alessandria",40,"Places"
"6","#verbania",27,"Places"
"7","#Piemonte",25,"Places"
"8","#allertameteo",22,"Emergency"
"9","#Alessandrino",19,"Places"
"10","#Viabilità",17,"others"
"11","#Po",14,"Places"
"12","#gavi",12,"Places"
"13","#AllertaMeteoPIE",11,"Emergency"
"14","#meteo",11,"Weather"
"15","#Torino",11,"Places"
"16","#VCO",9,"Places"
"17","#allertameteoLOM",8,"Emergency"
"18","#Maltempo",8,"Weather"
"19","#protezionecivile",8,"Institution"
"20","#Tanaro",8,"Places"
"21","#allertameteoPUG",7,"Emergency"
"22","#lagomaggiore",7,"Places"
"23","#CRI",6,"Institution"
"24","#Giaveno",6,"Places"
"25","#Ovada",6,"Places"
"26","#piemonte",6,"Places"
"27","#Gavi",5,"Places"
"28","#omegna",5,"Places"
"29","#protezionecivilecn",5,"Emergency"
"30","#SpinettaMarengo",5,"Places"
"31","#A7",4,"Mobility"
"32","#allertameteoPm",4,"Emergency"
"33","#allertameteoTOS",4,"Emergency"
"34","#ArpaPiemonte",4,"Institution"
"35","#BassoAlessandrino",4,"Places"
"36","#Cuneo",4,"Places"
"37","#Garessio",4,"Places"
"38","#Murazzi",4,"Places"
"39","#pioggia",4,"Weather"
"40","#Tortona",4,"Places"
"41","#allertameteotanaro",3,"Places"
"42","#arquatascrivia",3,"Places"
"43","#Bormida",3,"Places"
"44","#Castelnuovo",3,"Places"
"45","#Crescentino",3,"Places"
"46","#cuneo",3,"Places"
"47","#Italia",3,"Places"
"48","#Milano",3,"Places"
"49","#NoviLigure",3,"Places"
"50","#ST",3,"others"
"51","#Stazzano",3,"Places"
"52","#torino",3,"Places"
"53","#acqua",2,"others"
"54","#allagamento",2,"Emergency"
"55","#AllertaMeteoLIG",2,"Emergency"
"56","#allertameteoNO",2,"Emergency"
"57","#allertameteopm",2,"Emergency"
"58","#AllertaMeteoTOS",2,"Emergency"
"59","#alluvionegenova",2,"Emergency"
"60","#Arpa",2,"Institution"
"61","#Asti",2,"Places"
"62","#bormida",2,"Places"
"63","#Castellaneta",2,"Places"
"64","#centrosud",2,"others"
"65","#Cirimilla",2,"Places"
"66","#CroceRossa",2,"Institution"
"67","#genova",2,"Places"
"68","#Genova",2,"Places"
"69","#LagoMaggiore",2,"Places"
"70","#Lemme",2,"Places"
"71","#Lerma",2,"Places"
"72","#Masone",2,"Places"
"73","#Moncalieri",2,"Places"
"74","#Mondovì",2,"others"
"75","#murazzi",2,"Places"
"76","#Nizza",2,"Places"
"77","#Novara",2,"Places"
"78","#novi",2,"Places"
"79","#Omegna",2,"Places"
"80","#orba",2,"Places"
"81","#Ormea",2,"Places"
"82","#pienaPo",2,"Emergency"
"83","#predosa",2,"Places"
"84","#Primavera",2,"others"
"85","#Puglia",2,"Places"
"86","#RiskNat",2,"Institution"
"87","#scuole",2,"others"
"88","#Serravalle",2,"Places"
"89","#sfollati",2,"others"
"90","#SS28",2,"Mobility"
"91","#Stresa",2,"Places"
"92","#svizzera",2,"Places"
"93","#A26",1,"Mobility"
"94","#AcquaPotabile",1,"Mobility"
"95","#acqui",1,"Places"
"96","#alelrtameteoPIE",1,"Emergency"
"97","#alessandrino",1,"Places"
"98","#allerta",1,"Emergency"
"99","#allerta2",1,"Emergency"
"100","#allertaLig",1,"Emergency"
"101","#Allertameteo",1,"Emergency"
"102","#allertameteoBiella",1,"Emergency"
"103","#allertameteoLAZ",1,"Emergency"
"104","#allertameteoLig",1,"Emergency"
"105","#allertameteoLiG",1,"Emergency"
"106","#AllertameteoPie",1,"Emergency"
"107","#AllertameteoPIE",1,"Emergency"
"108","#allertameteoPIEM",1,"Emergency"
"109","#allertaMeteoPM",1,"Emergency"
"110","#AllertameteoPM",1,"Emergency"
"111","#allertameteoTanaro",1,"Places"
"112","#allertameteotos",1,"Emergency"
"113","#allertameteoVEN",1,"Emergency"
"114","#allertametePIE",1,"Emergency"
"115","#allertametoPIE",1,"Emergency"
"116","#allertmeteoPIE",1,"Emergency"
"117","#alluvione",1,"Emergency"
"118","#alluvioneChiavari",1,"Emergency"
"119","#AlluvioneLiguria",1,"Emergency"
"120","#alluvionePM",1,"Emergency"
"121","#AltoVergante",1,"Places"
"122","#arginideifiumi",1,"Mobility"
"123","#Arona",1,"Places"
"124","#belbo",1,"Places"
"125","#Biella",1,"Places"
"126","#biellese",1,"Places"
"127","#BoscoMarengo",1,"Places"
"128","#brattello",1,"Places"
"129","#Brindisi",1,"Places"
"130","#Brovello",1,"Places"
"131","#Bus",1,"Mobility"
"132","#cannero",1,"Places"
"133","#Cantonieri",1,"Institution"
"134","#Carpugnino",1,"Places"
"135","#Carrara",1,"Places"
"136","#Casalbagliano",1,"Places"
"137","#CasalCermelli",1,"Places"
"138","#cassano",1,"Places"
"139","#Chiavari",1,"Places"
"140","#Coazze",1,"Places"
"141","#COM8",1,"Emergency"
"142","#dissesto",1,"Emergency"
"143","#fail",1,"others"
"144","#frana",1,"Emergency"
"145","#giornaleprociv",1,"Media"
"146","#golfodianese",1,"Places"
"147","#ilgiornodopo",1,"others"
"148","#ilmeteo",1,"Media"
"149","#lagodorta",1,"Places"
"150","#Langhe",1,"Places"
"151","#lemme",1,"Places"
"152","#liguria",1,"Places"
"153","#link",1,"others"
"154","#Lovassina",1,"Places"
"155","#Malerba",1,"Places"
"156","#meteoPiemonte",1,"Places"
"157","#Molini",1,"others"
"158","#monserito",1,"Places"
"159","#Montecastello",1,"Places"
"160","#Neirone",1,"Places"
"161","#news",1,"others"
"162","#nonsenepuòpiù",1,"others"
"163","#novara",1,"Places"
"164","#Novi",1,"Places"
"165","#Orba",1,"Places"
"166","#Ossona",1,"Places"
"167","#paura",1,"others"
"168","#piogge",1,"Weather"
"169","#Piovera",1,"Places"
"170","#po",1,"Places"
"171","#ponente",1,"others"
"172","#pontremoli",1,"Places"
"173","#provinciaalessandria",1,"Places"
"174","#rain",1,"Weather"
"175","#Reano",1,"Places"
"176","#RioLovassina",1,"Places"
"177","#Risknat",1,"Institution"
"178","#Rivarone",1,"Places"
"179","#Roero",1,"Places"
"180","#Roma",1,"Places"
"181","#SanCristoforo",1,"Places"
"182","#Sangano",1,"Places"
"183","#Scrivia",1,"Places"
"184","#scuola",1,"others"
"185","#Sesia",1,"Places"
"186","#socialprociv",1,"Emergency"
"187","#SP135",1,"Mobility"
"188","#SP161",1,"Mobility"
"189","#SP35",1,"Mobility"
"190","#squadra17",1,"others"
"191","#SS34",1,"Mobility"
"192","#StateACasa",1,"Emergency"
"193","#stura",1,"Places"
"194","#tanaro",1,"Places"
"195","#Taranto",1,"Places"
"196","#TorrenteAgogna",1,"Places"
"197","#tortona",1,"Places"
"198","#toscana",1,"Places"
"199","#Trana",1,"others"
"200","#treni",1,"Mobility"
"201","#Valgioie",1,"Places"
"202","#valle",1,"others"
"203","#ValSangone",1,"Places"
"204","#valsesia",1,"Places"
"205","#Verbania",1,"Places"
"206","#verbano",1,"Places"
"207","#Verbano",1,"Places"
"208","#vercelli",1,"Places"
"209","#Vergante",1,"Places"
"210","#viabilita",1,"Mobility"
"211","#Volontari",1,"Emergency"
