"","hashtag","freq","cat"
"1","#allertameteoTOS",3166,"others"
"2","#Toscana",357,"Places"
"3","#allertameteoLIG",335,"Emergency"
"4","#Carrara",288,"Places"
"5","#Pisa",130,"Places"
"6","#Elba",126,"Places"
"7","#Chiavari",122,"Places"
"8","#maltempo",113,"Weather"
"9","#pioggia",96,"Weather"
"10","#Versilia",91,"Places"
"11","#Massa",85,"Places"
"12","#viabiliTOS",76,"Mobility"
"13","#Maltempo",67,"Weather"
"14","#carrara",63,"Places"
"15","#Genova",58,"Places"
"16","#Livorno",51,"Places"
"17","#meteo",48,"Weather"
"18","#Lunigiana",46,"Places"
"19","#versilia",45,"Places"
"20","#Montignoso",44,"Places"
"21","#Firenze",42,"Places"
"22","#Aurelia",35,"Mobility"
"23","#SS1",35,"Mobility"
"24","#Serchio",34,"Places"
"25","#temporali",34,"Weather"
"26","#Maremma",33,"Places"
"27","#vento",29,"Weather"
"28","#Chiavariallagata",28,"Emergency"
"29","#Prato",28,"Places"
"30","#den",27,"others"
"31","#FiPiLi",27,"Mobility"
"32","#isoladelba",27,"Places"
"33","#Portoferraio",26,"Places"
"34","#A12",25,"Mobility"
"35","#Seravezza",25,"Places"
"36","#Venturina",25,"Places"
"37","#CARRARA",24,"Places"
"38","#pendolaritoscana",22,"Mobility"
"39","#A2",21,"Emergency"
"40","#Cornia",21,"Places"
"41","#mareggiate",21,"Weather"
"42","#Carrione",20,"Places"
"43","#Migliarino",20,"Places"
"44","#piogge",20,"Weather"
"45","#alluvioneCarrara",19,"Emergency"
"46","#Aulla",19,"Places"
"47","#Liguria",19,"Places"
"48","#AllertaMeteoLIG",18,"Emergency"
"49","#Pistoia",18,"Places"
"50","#trenitalia",18,"Institution"
"51","#Lucca",17,"Places"
"52","#portoferraio",17,"Places"
"53","#Zeri",17,"Places"
"54","#Grosseto",16,"Places"
"55","#protezionecivile",16,"Emergency"
"56","#toscana",16,"Places"
"57","#vigilanzameteoTOS",16,"Emergency"
"58","#FIPILI",15,"Mobility"
"59","#Ginestra",14,"Places"
"60","#Pontremoli",14,"Places"
"61","#allagamentiElba",13,"Emergency"
"62","#allertameteo",13,"Emergency"
"63","#Cecina",13,"Places"
"64","#Cisa",13,"Mobility"
"65","#Vecchiano",12,"Places"
"66","#A1",11,"Mobility"
"67","#Arno",11,"Places"
"68","#AULLA",11,"Places"
"69","#Follonica",11,"Places"
"70","#LUCCA",11,"Places"
"71","#Monterotondo",11,"Places"
"72","#Sarzana",10,"Places"
"73","#CECINA",9,"Places"
"74","#massa",9,"Places"
"75","#MassaMarittima",9,"Places"
"76","#Rosignano",9,"Places"
"77","#SS62",9,"Mobility"
"78","#wikiclima",9,"Weather"
"79","#fipili",8,"Mobility"
"80","#Parmignola",8,"Places"
"81","#prato",8,"Places"
"82","#pratopioggia",8,"Places"
"83","#Quercianella",8,"Places"
"84","#scuole",8,"others"
"85","#socialprociv",8,"Emergency"
"86","#SS63",8,"Mobility"
"87","#Abetone",7,"Places"
"88","#AllagamentiElba",7,"Emergency"
"89","#allertameteoER",7,"Emergency"
"90","#alluvione",7,"Emergency"
"91","#alluvionecarrara",7,"Emergency"
"92","#Casano",7,"Places"
"93","#Cerreto",7,"Places"
"94","#Marsiliana",7,"Places"
"95","#Piombino",7,"Places"
"96","#Roma",7,"Places"
"97","#Uffizi",7,"Institution"
"98","#Amiata",6,"Places"
"99","#Castelfiorentino",6,"Places"
"100","#CFR",6,"Institution"
"101","#Criticità",6,"others"
"102","#elbaallagata",6,"Emergency"
"103","#Fucecchio",6,"Places"
"104","#maltempoTOS",6,"Weather"
"105","#Manciano",6,"Places"
"106","#pontremoli",6,"Places"
"107","#Siena",6,"Places"
"108","#ValDiCornia",6,"Places"
"109","#zonarossa",6,"Emergency"
"110","#allagamenti",5,"Emergency"
"111","#allertameteoPM",5,"Emergency"
"112","#Chioma",5,"Places"
"113","#follonica",5,"Places"
"114","#Fulmine",5,"Weather"
"115","#Galilei",5,"Mobility"
"116","#Garfagnana",5,"Places"
"117","#Lazio",5,"Places"
"118","#maremma",5,"Places"
"119","#Meteo",5,"Weather"
"120","#Orbetello",5,"Places"
"121","#pienaPo",5,"Emergency"
"122","#V",5,"others"
"123","#Valdarno",5,"Places"
"124","#ValdiCecina",5,"Places"
"125","#Verrazzano",5,"Places"
"126","#Vigilanza",5,"Weather"
"127","#A11",4,"Mobility"
"128","#allertameteoLAZ",4,"Emergency"
"129","#allertameteoRM",4,"Emergency"
"130","#Alluvione",4,"Emergency"
"131","#Arezzo",4,"Places"
"132","#aulla",4,"Places"
"133","#Bratto",4,"Places"
"134","#carrione",4,"Places"
"135","#Castelnuovo",4,"Places"
"136","#elba",4,"Places"
"137","#Filattiera",4,"Places"
"138","#Fivizzano",4,"Places"
"139","#goodnews",4,"others"
"140","#Impruneta",4,"Places"
"141","#Magra",4,"Places"
"142","#MAREMMA",4,"Places"
"143","#Marina",4,"Places"
"144","#MarinadiCarrara",4,"Places"
"145","#Minucciano",4,"Places"
"146","#montevarchi",4,"Places"
"147","#ordinanza",4,"others"
"148","#piove",4,"Weather"
"149","#Scandicci",4,"Places"
"150","#Scarlino",4,"Places"
"151","#SP106",4,"Mobility"
"152","#SP172",4,"Mobility"
"153","#SP39",4,"Mobility"
"154","#SR74",4,"Mobility"
"155","#SS12",4,"Mobility"
"156","#SS223",4,"Mobility"
"157","#viareggio",4,"Places"
"158","#Vicarello",4,"Places"
"159","#allertameteoer",3,"Emergency"
"160","#allertameteolig",3,"Emergency"
"161","#allertameteoPIE",3,"Emergency"
