"date","native_tweets","native_retweets","retweet_ratio","Nday_authors","Nday_hash","Nday_mention","Nday_links","Nmean_hashtag","Nmean_mentions","Nmean_words","Nmean_links","Nunique_authors","Nuniq_hash","Nuniq_mention","Nuniq_links","retweetCount","repliesCount","N_favor"
2014-11-03,63,0,0,63,118,30,55,1.87,0.35,12.84,0.87,22,31,16,51,70,1,62
2014-11-04,297,0,0,297,495,153,152,1.67,0.42,11.66,0.51,76,95,30,140,650,9,295
2014-11-05,157,0,0,157,311,108,91,1.98,0.54,12.1,0.58,37,66,30,89,283,1,156
2014-11-06,16,0,0,16,31,8,13,1.94,0.44,13.62,0.81,13,15,5,13,28,2,16
2014-11-07,,,,,,,,,,,,,,,,,,
2014-11-08,25,0,0,25,47,11,24,1.88,0.28,14.04,0.96,13,12,8,24,22,1,25
2014-11-09,208,0,0,208,374,77,110,1.8,0.28,11.95,0.53,92,64,34,100,509,13,196
2014-11-10,617,0,0,617,1176,291,347,1.91,0.34,12.75,0.56,217,134,108,312,2325,42,608
2014-11-11,734,0,0,734,1543,280,331,2.1,0.3,13.35,0.45,237,200,99,305,1540,39,726
2014-11-12,261,0,0,261,482,144,160,1.85,0.36,13.9,0.61,101,110,58,151,370,25,255
2014-11-13,57,0,0,57,110,18,43,1.93,0.26,13.91,0.75,33,39,13,41,68,2,57
2014-11-14,140,0,0,140,310,55,92,2.21,0.31,13.06,0.66,69,76,24,87,129,7,137
2014-11-15,2355,0,0,2355,4583,1002,1006,1.95,0.3,12.54,0.43,706,427,279,970,10302,178,2307
2014-11-16,227,0,0,227,497,119,109,2.19,0.35,14.51,0.48,134,121,66,109,480,14,226
2014-11-17,231,0,0,231,442,97,160,1.91,0.31,13.77,0.69,107,90,52,153,543,23,225
2014-11-18,23,0,0,23,54,12,8,2.35,0.3,15.52,0.35,18,20,11,8,21,0,23
2014-11-19,7,0,0,7,19,3,3,2.71,0.43,14.14,0.43,7,12,3,3,0,2,7
2014-11-20,1,0,0,1,2,0,1,2,0,9,1,1,2,0,1,0,0,1
2014-11-21,,,,,,,,,,,,,,,,,,
2014-11-22,1,0,0,1,3,0,1,3,0,16,1,1,3,0,1,0,0,1
2014-11-23,,,,,,,,,,,,,,,,,,
2014-11-24,,,,,,,,,,,,,,,,,,
2014-11-25,8,0,0,8,10,3,0,1.25,0.12,10.38,0,6,3,3,0,0,1,8
2014-11-26,4,0,0,4,7,3,3,1.75,0.25,14,0.75,4,3,3,3,3,1,4
2014-11-27,142,0,0,142,284,68,87,2,0.38,12.52,0.61,79,50,29,85,218,6,142
2014-11-28,126,0,0,126,220,61,76,1.75,0.35,13.9,0.6,60,52,25,75,169,6,125
2014-11-29,32,0,0,32,48,4,33,1.5,0.12,13.97,1.03,18,14,3,32,86,0,31
2014-11-30,70,0,0,70,121,30,49,1.73,0.3,13.09,0.7,33,34,14,48,90,8,69
2014-12-01,86,0,0,86,164,49,42,1.91,0.37,13.55,0.49,41,43,20,41,130,9,85
2014-12-02,2,0,0,2,3,0,1,1.5,0,14.5,0.5,2,2,0,1,0,0,2
