"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,,7,1,,55
2014-11-04,2,27,3,,265
2014-11-05,3,15,4,3,132
2014-11-06,1,2,1,,12
2014-11-07,,,,,
2014-11-08,2,6,,,17
2014-11-09,15,27,2,,164
2014-11-10,14,55,29,7,512
2014-11-11,21,60,36,5,612
2014-11-12,5,30,16,4,206
2014-11-13,2,9,4,,42
2014-11-14,1,16,2,,121
2014-11-15,48,159,64,3,2081
2014-11-16,7,9,10,3,198
2014-11-17,7,28,11,3,182
2014-11-18,1,,,,22
2014-11-19,,,1,,6
2014-11-20,,,,,1
2014-11-21,,,,,
2014-11-22,,1,,,
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,,,,,8
2014-11-26,,,1,,3
2014-11-27,3,15,7,1,116
2014-11-28,2,13,6,,105
2014-11-29,,4,3,1,24
2014-11-30,1,6,9,,54
2014-12-01,3,1,3,,79
2014-12-02,,1,,,1
