"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,1,4,11,2,4
2014-11-04,6,7,87,11,18
2014-11-05,8,6,54,12,12
2014-11-06,0,0,3,0,2
2014-11-07,,,,,
2014-11-08,0,5,0,0,3
2014-11-09,23,6,12,3,18
2014-11-10,21,16,93,13,101
2014-11-11,9,19,96,16,88
2014-11-12,8,6,42,6,55
2014-11-13,3,1,2,2,5
2014-11-14,0,5,26,2,7
2014-11-15,40,46,174,58,509
2014-11-16,8,5,39,5,25
2014-11-17,1,4,14,6,32
2014-11-18,0,0,2,2,3
2014-11-19,0,0,0,0,0
2014-11-20,0,0,0,0,0
2014-11-21,,,,,
2014-11-22,0,0,0,0,0
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,0,0,0,0,3
2014-11-26,0,0,0,0,3
2014-11-27,5,3,30,5,12
2014-11-28,4,4,21,8,14
2014-11-29,0,2,0,0,2
2014-11-30,1,5,3,2,16
2014-12-01,0,0,11,3,22
2014-12-02,0,0,0,0,0
