"","hashtag","freq","cat"
"1","#allertameteoLIG",5922,"Emergency"
"2","#Genova",609,"Places"
"3","#allerta2",278,"Emergency"
"4","#genova",275,"Places"
"5","#Chiavari",258,"Places"
"6","#Liguria",176,"Places"
"7","#alluvionegenova",138,"Emergency"
"8","#maltempo",113,"Weather"
"9","#alluvioneChiavari",76,"Emergency"
"10","#Albenga",73,"Places"
"11","#liguria",72,"Places"
"12","#alluvione",69,"Emergency"
"13","#Savona",62,"Places"
"14","#meteo",51,"Weather"
"15","#allertameteoTOS",45,"Emergency"
"16","#allertameteoGE",40,"Emergency"
"17","#Alluvione",40,"Emergency"
"18","#allertameteo",39,"Emergency"
"19","#allertameteoPM",39,"Emergency"
"20","#alluvioneLiguria",39,"Emergency"
"21","#Bisagno",39,"Places"
"22","#allerta1",38,"Emergency"
"23","#Leivi",38,"Places"
"24","#Carasco",36,"Places"
"25","#news",35,"others"
"26","#Voltri",34,"Places"
"27","#Lavagna",33,"Places"
"28","#allertagenova",31,"Emergency"
"29","#sapevatelo",31,"others"
"30","#chiavari",30,"Places"
"31","#allertameteogenova",29,"Emergency"
"32","#savona",29,"Places"
"33","#Allerta2",28,"Emergency"
"34","#Imperia",27,"Places"
"35","#Maltempo",27,"Weather"
"36","#protezionecivile",27,"Institution"
"37","#allerta",26,"Emergency"
"38","#allertameteoSV",25,"Emergency"
"39","#sestriponente",25,"Places"
"40","#Polcevera",24,"Places"
"41","#allertameteoGenova",20,"Emergency"
"42","#voltri",20,"Places"
"43","#LaSpezia",19,"Places"
"44","#polcevera",19,"Places"
"45","#Alassio",18,"Places"
"46","#Albisola",18,"Places"
"47","#Andora",18,"Places"
"48","#dissestoLIG",18,"Emergency"
"49","#allertameteoLOM",17,"Emergency"
"50","#allertameteoPIE",17,"Emergency"
"51","#AlluvioneGenova",17,"Emergency"
"52","#cerusa",17,"Places"
"53","#Entella",17,"Places"
"54","#Sanremo",16,"Places"
"55","#ViaFereggiano",16,"Places"
"56","#alluvionechiavari",14,"Emergency"
"57","#Cerusa",14,"Places"
"58","#Spezia",14,"Places"
"59","#Busalla",13,"Places"
"60","#laspezia",13,"Places"
"61","#Mignanego",13,"Places"
"62","#Ortonovo",13,"Places"
"63","#Rapallo",13,"Places"
"64","#frana",12,"Emergency"
"65","#valpolcevera",12,"Places"
"66","#bisagno",11,"Places"
"67","#Fereggiano",11,"Places"
"68","#ForzaLiguria",11,"Places"
"69","#frane",11,"Emergency"
"70","#GenovaQuinto",11,"Places"
"71","#imperia",11,"Places"
"72","#Mancini",11,"others"
"73","#Milano",11,"Places"
"74","#Pegli",11,"Places"
"75","#SanFruttuoso",11,"Places"
"76","#SerraRiccò",11,"Places"
"77","#TorSapienza",11,"Places"
"78","#Varazze",11,"Places"
"79","#AllertameteoGenova",10,"Emergency"
"80","#buongiorno",10,"others"
"81","#hmrd",10,"others"
"82","#NUMEROVERDE",10,"Emergency"
"83","#PietraLigure",10,"Places"
"84","#allertaLIG",9,"Emergency"
"85","#fereggiano",9,"Places"
"86","#Frana",9,"Emergency"
"87","#Garlenda",9,"Places"
"88","#Ovada",9,"Places"
"89","#Tigullio",9,"Places"
"90","#valdimagra",9,"Places"
"91","#allagamenti",8,"Emergency"
"92","#Allerta",8,"Emergency"
"93","#Bordighera",8,"Places"
"94","#castelnuovomagra",8,"Places"
"95","#Gabrielli",8,"Institution"
"96","#pioggia",8,"Weather"
"97","#pontedecimo",8,"Places"
"98","#Rossiglione",8,"Places"
"99","#Ventimiglia",8,"Places"
"100","#a7",7,"Mobility"
"101","#allertage",7,"Emergency"
"102","#AllertaMeteo2",7,"Emergency"
"103","#alluvioneGenova",7,"Emergency"
"104","#arenzano",7,"Places"
"105","#arpal",7,"Institution"
"106","#bolzaneto",7,"Places"
"107","#Bolzaneto",7,"Places"
"108","#campomorone",7,"Places"
"109","#Campomorone",7,"Places"
"110","#esondazione",7,"Emergency"
"111","#fango",7,"Emergency"
"112","#Italia",7,"others"
"113","#mignanego",7,"Places"
"114","#orabasta",7,"others"
"115","#Renzi",7,"Institution"
"116","#Seveso",7,"Places"
"117","#temporale",7,"Weather"
"118","#Toscana",7,"Places"
"119","#Valbisagno",7,"Places"
"120","#A10",6,"Mobility"
"121","#alassio",6,"Places"
"122","#AlluvioneLiguria",6,"Emergency"
"123","#Ameglia",6,"Places"
"124","#Carrara",6,"Places"
"125","#Casella",6,"Places"
"126","#Ceriale",6,"Places"
"127","#glocal14",6,"others"
"128","#Loano",6,"Places"
"129","#MTVStars",6,"Media"
"130","#Po",6,"Places"
"131","#poveraItalia",6,"others"
"132","#ProtezioneCivile",6,"Institution"
"133","#renzi",6,"Institution"
"134","#Stura",6,"Places"
"135","#trovalalanterna",6,"others"
"136","#vadoligure",6,"Places"
"137","#VadoLigure",6,"Places"
"138","#viabilità",6,"Mobility"
"139","#Zoagli",6,"Places"
"140","#acqui",5,"Places"
"141","#allertameteoSAR",5,"Emergency"
"142","#AlluvioneChiavari",5,"Emergency"
"143","#alluvionege",5,"Emergency"
"144","#alluvionevalpolcevera",5,"Emergency"
"145","#attenzione",5,"others"
"146","#belin",5,"others"
"147","#BentornatoMancio",5,"others"
"148","#Bergeggi",5,"Places"
"149","#cantarena",5,"Places"
"150","#ChildrenInNeed",5,"others"
"151","#COC",5,"Emergency"
"152","#Cogoleto",5,"Places"
"153","#Cogorno",5,"Places"
"154","#Cronacameteo",5,"Weather"
"155","#Magra",5,"Places"
"156","#meteospezia17NOV",5,"Places"
"157","#Montoggio",5,"Places"
"158","#ortonovo",5,"Places"
"159","#Parmignola",5,"Places"
"160","#pegli",5,"Places"
"161","#piazzapulita",5,"Media"
"162","#Piemonte",5,"Places"
"163","#ponente",5,"Places"
"164","#Pontedecimo",5,"Places"
"165","#Primocanale",5,"Media"
"166","#Rupinaro",5,"Places"
"167","#Sarzana",5,"Places"
