"","mentions","freq","cat"
"1","primocanale",659,"Media"
"2","emergenza24",146,"Volunteer_NGO"
"3","miti_vigliero",125,"others"
"4","frabaraghini",96,"others"
"5","ilsecoloxix",80,NA
"6","arpal_rischiome",56,NA
"7","meteolimet",55,"Weather"
"8","protcivilege",49,"Institution"
"9","genesdegenes",45,"others"
"10","eneriemrap",38,"others"
"11","comunedigenova",35,"Institution"
"12","telenord",25,"others"
"13","matteorenzi",23,NA
"14","raffaellapaita",22,"Institution"
"15","farmaciaserrage",21,"others"
"16","nureldin",20,"others"
"17","claudioburlando",19,"others"
"18","3bmeteo",17,"Weather"
"19","meteolanterna",17,"Weather"
"20","stefaniaconti",17,"others"
"21","allertameteolig",16,"Weather"
"22","karuso",16,"others"
"23","tweetty84",13,"others"
"24","quezzimeteo",12,"Weather"
"25","radiobabboleo",12,"Media"
"26","ivgit",11,NA
"27","repubblicait",11,NA
"28","unigenova",11,"Institution"
"29","cristianobosco",10,"others"
"30","paolopoggio",10,"others"
"31","bagnivirginia",9,"others"
"32","edosala8",9,"others"
"33","pater1947",9,"others"
"34","piazzapulitala7",9,"Media"
"35","_garibaldi_",8,"others"
"36","genovaeroporto",8,"others"
"37","graziano_delrio",8,NA
"38","ossmeteobargone",8,"Weather"
"39","sister_magister",8,"others"
"40","arpal_meteomare",7,NA
"41","doriamarco",7,NA
"42","la_rouge_doc",7,"others"
"43","mr_torax",7,"others"
"44","rlevaggi",7,NA
"45","youreporter",7,NA
"46","arpal_liguria",6,NA
"47","dicrescenzog",6,"others"
"48","emmagerboni",6,NA
"49","genova24it",6,"Media"
"50","giornalegiunta",6,"Institution"
"51","lucanatale70",6,"others"
"52","mattiarighello",6,NA
"53","robertocatzeddu",6,"others"
"54","samacane",6,"others"
"55","trenetta",6,"others"
"56","anpasnazionale",5,"Volunteer_NGO"
"57","capitanachab",5,"others"
"58","corriereit",5,NA
"59","dettobene",5,"others"
"60","furettop",5,"others"
"61","jacopozuc",5,"others"
"62","la_stampa",5,"Media"
"63","mediasettgcom24",5,"Media"
"64","mikytooo",5,"others"
"65","pianetagenoa",5,"Media"
"66","rainews",5,NA
"67","wwwmeteoit",5,"Weather"
"68","agorlerici",4,"others"
"69","annathelion",4,"others"
"70","ansaliguria",4,NA
"71","castelnuovom",4,"Institution"
"72","caterinadoglio",4,"others"
"73","cofferati",4,"others"
"74","danielaquartu",4,"others"
"75","fattoquotidiano",4,"Media"
"76","fedeleamico",4,"others"
"77","fsnews_it",4,NA
"78","glgalletti",4,NA
"79","gtimossi",4,"others"
"80","jackgrifo",4,"others"
"81","meteogequinto",4,"Weather"
"82","missperspy",4,"others"
"83","pagina2cento",4,"others"
"84","papryka5",4,"others"
"85","protcivnews",4,"Media"
"86","rainews24",4,NA
"87","rep_genova",4,"Media"
"88","ricardoernst",4,"others"
"89","tigella",4,"others"
"90","welikechopin",4,NA
"91","a_biancheri",3,"others"
"92","allertameteoit",3,"Weather"
"93","angybert7",3,"others"
"94","annabelladellac",3,"others"
"95","brandobenifei",3,"others"
"96","chiavari_tweet",3,"others"
"97","class_tv",3,"Media"
"98","comilara",3,"others"
"99","crocerossa",3,NA
"100","dandany5",3,"others"
"101","dapambianchi",3,"others"
"102","ducale_genova",3,"Institution"
"103","ettamaggio",3,"others"
"104","geoluc_mei",3,"others"
"105","indivanados",3,"others"
"106","iogenovese",3,"others"
"107","io_marinella",3,"others"
"108","jessicanicolini",3,"others"
"109","lucaantonini1",3,"others"
"110","lyliusbea",3,"others"
"111","matteocantile",3,"others"
"112","mauroboccaccio",3,"others"
"113","miss_s_fletcher",3,"others"
"114","monicasella79",3,"others"
"115","panorama_it",3,NA
"116","paola_faravelli",3,"others"
"117","patriziacavanna",3,"others"
"118","pennadireve",3,"others"
"119","robertopanizza",3,"others"
"120","robertorccasu",3,"others"
"121","serenagiacomin",3,"others"
"122","silvianalon",3,"others"
"123","skytg24",3,NA
"124","tgr_rai",3,NA
"125","valentinapetrin",3,"others"
"126","v_entella",3,NA
"127","virus1979c",3,"others"
"128","visit_riviera",3,"Institution"
"129","agenzia_ansa",2,NA
"130","albertomariawid",2,NA
"131","aleandreis68",2,"others"
"132","alessandro61",2,NA
"133","alessandro_oddo",2,"others"
"134","angealfa",2,NA
"135","armandobarbano",2,"others"
