"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,1,4,1,2,3
2014-11-04,8,32,39,5,79
2014-11-05,0,16,15,5,14
2014-11-06,2,1,1,0,2
2014-11-07,,,,,
2014-11-08,0,0,0,0,1
2014-11-09,0,8,0,0,1
2014-11-10,0,10,1,1,5
2014-11-11,5,23,28,2,23
2014-11-12,0,20,15,0,28
2014-11-13,0,2,2,1,4
2014-11-14,0,2,7,0,9
2014-11-15,0,26,61,5,56
2014-11-16,0,4,18,1,2
2014-11-17,0,15,3,1,4
2014-11-18,0,3,0,0,1
2014-11-19,0,1,0,0,0
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-22,,,,,
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,0,1,0,0,1
2014-11-26,0,0,0,0,0
2014-11-27,0,0,1,0,0
2014-11-28,0,6,1,0,1
2014-11-29,0,4,0,0,1
2014-11-30,0,6,0,1,2
2014-12-01,1,10,19,0,15
2014-12-02,0,0,0,0,3
