"date","Emergency","Places","Outside_Places","Institution","Media","Weather","Mobility","others"
2014-11-03,13,3,0,2,0,2,0,2
2014-11-04,200,66,26,10,0,12,3,7
2014-11-05,64,32,7,1,0,6,2,5
2014-11-06,9,6,8,0,0,2,0,0
2014-11-07,,,,,,,,
2014-11-08,1,0,0,0,0,0,0,0
2014-11-09,11,2,3,1,0,1,0,0
2014-11-10,30,6,2,1,0,1,0,0
2014-11-11,133,29,15,1,1,5,1,1
2014-11-12,106,42,10,2,0,6,0,1
2014-11-13,13,6,3,2,0,1,0,0
2014-11-14,30,7,7,2,0,1,0,1
2014-11-15,248,94,35,1,0,43,9,20
2014-11-16,37,11,0,0,1,0,0,1
2014-11-17,42,2,0,0,0,0,0,1
2014-11-18,8,1,0,0,0,0,0,0
2014-11-19,2,0,0,0,0,0,0,0
2014-11-20,,,,,,,,
2014-11-21,,,,,,,,
2014-11-22,,,,,,,,
2014-11-23,,,,,,,,
2014-11-24,,,,,,,,
2014-11-25,3,1,0,1,0,0,0,0
2014-11-26,,,,,,,,
2014-11-27,2,1,0,0,0,0,0,0
2014-11-28,17,0,1,1,0,1,0,0
2014-11-29,10,0,0,0,0,0,0,0
2014-11-30,16,2,0,2,0,1,0,0
2014-12-01,69,56,5,5,0,7,0,5
2014-12-02,5,4,0,0,0,0,0,0
