"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,0,1,0,0,0
2014-11-04,8,6,12,0,16
2014-11-05,8,3,2,0,0
2014-11-06,0,0,0,0,0
2014-11-07,,,,,
2014-11-08,0,0,0,0,0
2014-11-09,0,0,0,0,0
2014-11-10,0,2,0,0,0
2014-11-11,4,6,1,0,3
2014-11-12,1,2,0,0,2
2014-11-13,0,0,0,1,0
2014-11-14,0,1,0,1,0
2014-11-15,8,7,3,0,9
2014-11-16,0,1,3,0,0
2014-11-17,0,1,0,0,0
2014-11-18,0,0,0,0,0
2014-11-19,0,0,0,0,0
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-22,,,,,
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,0,0,0,0,0
2014-11-26,,,,,
2014-11-27,0,0,0,0,0
2014-11-28,0,0,0,0,0
2014-11-29,0,1,0,0,0
2014-11-30,0,1,0,0,0
2014-12-01,0,0,0,0,1
2014-12-02,0,0,0,0,0
