"","authors","freq","cat"
"1","ArpaPiemonte",175,"Weather"
"2","quotidianopiem",94,"Media"
"3","diAlessandria",57,"Media"
"4","Miti_Vigliero",40,"others"
"5","nastrorosa",38,"others"
"6","ilVergante",15,"Media"
"7","giornaleprociv",14,"Media"
"8","CRIcuneo",12,"Volunteer_NGO"
"9","DavideGavi",11,"others"
"10","vittoriopasteris",11,"others"
"11","Marinamas",9,"others"
"12","_TheWitch_",8,"others"
"13","ProteggereI",8,"Volunteer_NGO"
"14","SimonaBellarmin",7,"others"
"15","UnioneMregalese",7,"Media"
"16","3BMeteo",6,"Weather"
"17","gianlucamorino",6,"others"
"18","Ossmeteobargone",6,"Weather"
"19","Protcivnews",6,"Media"
"20","rataplangq",6,"others"
"21","riskiomap",6,"others"
"22","SOL_CRI_Giaveno",6,"others"
"23","blogalessandria",5,"Media"
"24","discoradioIT",5,"Media"
"25","provinciacuneo",5,"Institution"
"26","CapitanAchab",4,"others"
"27","classmeteo",4,"Weather"
"28","emerge67",4,"others"
"29","CRI_Crescentino",3,"others"
"30","frassannino",3,"others"
"31","GabbroIT",3,"others"
"32","lesherbes",3,"others"
"33","PCPontestura",3,"Institution"
"34","Plinuz",3,"others"
"35","Aldebauro",2,"others"
"36","alybio",2,"others"
"37","angelatanania",2,"others"
"38","Bluesbuntu",2,"others"
"39","CastellanetaTW",2,"Institution"
"40","crpiemonte",2,"Volunteer_NGO"
"41","FraBaraghini",2,"others"
"42","giovanni_dutto",2,"others"
"43","Granda_p_Comuni",2,"others"
"44","Guarene2020",2,"others"
"45","ilariolarosageo",2,"others"
"46","micky_genova",2,"others"
"47","OvadaonLine",2,"others"
"48","semprecontro",2,"others"
"49","topedobis",2,"others"
"50","AlessandriaNews",1,"Media"
"51","alfonso6403",1,"others"
"52","AllertameteoPIE",1,"Weather"
"53","Beppeley",1,"others"
"54","camerafreckles",1,"others"
"55","cannaWH",1,"others"
"56","ChiaraBianchini",1,"others"
"57","christianmaran",1,"others"
"58","ClaudiaCavadore",1,"others"
"59","CollineDigitali",1,"others"
"60","Comune_Saluzzo",1,"Institution"
"61","comunedianom",1,"Institution"
"62","CorriereChieri",1,"Media"
"63","CRIaeprovtorino",1,"Volunteer_NGO"
"64","cvpc_cinisello",1,"Institution"
"65","DanieleKeshk",1,"others"
"66","davideracconta",1,"others"
"67","davvedder",1,"others"
"68","Drupyfeddy",1,"others"
"69","Edoteque",1,"others"
"70","ElisaCasetta",1,"others"
"71","fircbvercelli",1,"Volunteer_NGO"
"72","garbif",1,"others"
"73","gavisince972",1,"others"
"74","giospanti",1,"others"
"75","GiuliaC89",1,"others"
"76","icioweb73",1,"others"
"77","InfolabLeone",1,"others"
"78","italia_24news",1,"Media"
"79","Italia_Social",1,"others"
"80","JeromeDoukakis",1,"others"
"81","JuriLertora",1,"others"
"82","l_lovelli",1,"others"
"83","Lecchinimichele",1,"others"
"84","Liguria24News",1,"Media"
"85","LucaGattuso",1,"others"
"86","lucazabapozzi",1,"others"
"87","marlonghin",1,"others"
"88","Martinol87",1,"others"
"89","massimomathis",1,"others"
"90","matteoguidelli",1,"others"
"91","MeteoTweet24",1,"Weather"
"92","MonicaSella79",1,"others"
"93","naneoca",1,"others"
"94","novajoinfo",1,"others"
"95","parodi_lucio",1,"others"
"96","PCFonteno",1,"Institution"
"97","peppeiasparra",1,"others"
"98","PerezSilvina",1,"others"
"99","pier_mar",1,"others"
"100","pierderici",1,"others"
"101","pierin2agosto",1,"others"
"102","PROCIVMFlavio",1,"Institution"
"103","ProCivRozzano",1,"Institution"
"104","pvlucapv",1,"others"
"105","QCanavese",1,"Media"
"106","QuiNewsMassaCar",1,"Media"
"107","RadioGoldAl",1,"Media"
"108","RADIORMT",1,"Weather"
"109","rafcalandra",1,"others"
"110","sabipresti",1,"others"
"111","ScattiDLuce",1,"others"
"112","Sedicente",1,"others"
"113","SerenaCerutti",1,"others"
"114","silviafrivola",1,"others"
"115","SML2020",1,"Media"
"116","spanosimone",1,"others"
"117","speruzx",1,"others"
"118","speziapolis",1,"others"
"119","SpiderJer",1,"others"
"120","SuozziElena",1,"others"
"121","totalnewsitalia",1,"others"
"122","TuLangheRoero",1,"others"
"123","twitorino",1,"Institution"
"124","ultimenotizie",1,"Media"
"125","valenitna",1,"others"
"126","ValentinaEve",1,"others"
"127","Valerio_To",1,"others"
"128","xpepox",1,"others"
"129","yes_political",1,"others"
"130","_MarcoSalaris",0,"others"
"131","_SoundOfThunder",0,"others"
"132","1lupogrigio",0,"others"
"133","3dartmike",0,"others"
"134","66_mush",0,"others"
"135","7sofficisoffi",0,"others"
"136","8888eric8888",0,"others"
"137","aa_273",0,"others"
"138","Abicetta",0,"others"
"139","afrodite1969",0,"others"
"140","AgorLerici",0,"others"
"141","Airone_Azzurro",0,"others"
"142","alaskaHQ",0,"others"
"143","alba90yt",0,"others"
"144","albemaff",0,"others"
"145","Alberella",0,"others"
"146","alberto_pilotto",0,"others"
"147","AlbertoDaniele0",0,"others"
"148","albezzano",0,"others"
"149","AlCampodiSotto",0,"others"
"150","ale_gianlu",0,"others"
"151","Ale81Na",0,"others"
"152","alemassimo00",0,"others"
"153","alenasi83",0,"others"
"154","Aleqmela",0,"others"
"155","Alessandrobarix",0,"others"
"156","AlessiaCrawley",0,"others"
"157","alevalsi",0,"others"
"158","AlexandrNevskij",0,"others"
"159","aliceborutti",0,"others"
"160","Aline_Carr",0,"others"
"161","alpidoc",0,"others"
"162","alyce_stregatta",0,"others"
"163","andrewpasq",0,"others"
"164","andrpiazza",0,"others"
"165","ANGEBRIXIA",0,"others"
"166","anna_dtt",0,"others"
"167","annabelladellac",0,"others"
"168","annaBusca",0,"others"
"169","AnnaChiara_Des",0,"others"
"170","annaferri2",0,"others"
"171","annaljsa",0,"others"
"172","Annathelion",0,"others"
"173","annmavi",0,"others"
"174","AnpasPiemonte",0,"Institution"
"175","antnqu",0,"others"
"176","antonellaval6",0,"others"
"177","antonio_gemelli",0,"others"
"178","AntonioFantastk",0,"others"
"179","AntonioSpadafo4",0,"others"
"180","aperru1",0,"others"
"181","aranciaverde",0,"others"
"182","arcadiacss",0,"others"
"183","ArchCmc",0,"others"
"184","archEsposito",0,"others"
"185","areopago1",0,"others"
"186","Aringoogle",0,"others"
"187","ArtemisiaBa",0,"others"
"188","asolepascual",0,"others"
"189","AutoconAutista",0,"others"
"190","AValabrega",0,"others"
"191","avatar1dory",0,"others"
"192","AvvChierichetti",0,"others"
"193","azz60",0,"others"
"194","Ba_Bars",0,"others"
"195","BachBad",0,"others"
"196","ballani_alessia",0,"others"
"197","BBOmbraCiliegio",0,"others"
"198","bc_emergenza",0,"Volunteer_NGO"
"199","Beatrix_aka_BM",0,"others"
"200","BenedettaFusi",0,"others"
"201","bepin69",0,"others"
"202","bestiol1",0,"others"
"203","beverinoboschi",0,"others"
"204","bigfab1",0,"others"
"205","bimba_pigra",0,"others"
"206","BioSoilExpert",0,"others"
"207","BlasiMarina",0,"others"
"208","BLOGRADIOTV",0,"Media"
"209","Blu_391",0,"others"
"210","bobmcgreghy",0,"others"
"211","BORGHETTOdiVARA",0,"Media"
"212","branotizie",0,"Media"
"213","BraPiemonte",0,"others"
"214","brecomtech",0,"others"
"215","Bruschi_Segest",0,"others"
"216","calb71",0,"others"
"217","campochiarenti",0,"others"
"218","CaponnettoA",0,"others"
"219","carcarla81",0,"others"
"220","CarlaTrudu",0,"others"
"221","CarloAlterego",0,"others"
"222","CarryCandy",0,"others"
"223","CasaOrtenzi",0,"others"
"224","caterinadelpero",0,"others"
"225","CaterinaDoglio",0,"others"
"226","Catta_lele",0,"others"
"227","CattoAngelo",0,"others"
"228","cemarco",0,"others"
"229","ceranto",0,"others"
"230","cerberoTO",0,"others"
"231","CesareGerbino",0,"others"
"232","CesarePiva",0,"others"
"233","cetelina",0,"others"
"234","chececo",0,"others"
"235","chiaramanna",0,"others"
"236","chiarapellegri9",0,"others"
"237","chicco22em",0,"others"
"238","cielomiomarito",0,"others"
"239","cin_ales",0,"others"
"240","CiriacoPia",0,"others"
"241","cirio_francesca",0,"others"
"242","Cisiamocisom",0,"others"
"243","Cittadinireatti",0,"Media"
"244","cittAgora",0,"others"
"245","cla1205",0,"others"
"246","claudiutza_",0,"others"
"247","Coccynella500",0,"others"
"248","cogobeach666",0,"others"
"249","ColomoLoriana",0,"others"
"250","columdonnelly",0,"others"
"251","comilara",0,"others"
"252","ComunediManta",0,"Institution"
"253","ComuneMontelupo",0,"Institution"
"254","ConfagriAL",0,"Institution"
"255","coscienzavigile",0,"others"
"256","CostanzaRdO",0,"others"
"257","CostrIlFuturo",0,"others"
"258","cotrozzi_lisa",0,"others"
"259","Crinova",0,"Volunteer_NGO"
"260","criskikka75",0,"others"
"261","crisottobre",0,"others"
"262","Criss76Cristina",0,"others"
"263","crocerossabusca",0,"Volunteer_NGO"
"264","CuneoTweet",0,"others"
"265","D1_Eg0",0,"others"
"266","dadadanix",0,"others"
"267","DadoTes",0,"others"
"268","daniballardini",0,"others"
"269","DaniloPapurello",0,"others"
"270","DaniPitarresi",0,"others"
"271","danteferraris",0,"others"
"272","DanteMt03Fumi",0,"others"
"273","DanyDeg77",0,"others"
"274","danytorino",0,"others"
"275","dariodf70",0,"others"
"276","dariosnoopy",0,"others"
"277","darklovers",0,"others"
"278","Darosyndy",0,"others"
"279","DavcbrDavide",0,"others"
"280","davide_rossi",0,"others"
"281","Davide_Valieri",0,"others"
"282","Davidone74",0,"others"
"283","DeniLuisa",0,"others"
"284","denvergo7",0,"others"
"285","devisrosso",0,"others"
"286","DIamartino",0,"others"
"287","dileguossi",0,"others"
"288","DiVi84",0,"others"
"289","DjSimma7",0,"others"
"290","dmazzi96",0,"others"
"291","DolomitesDeli",0,"others"
"292","domedele",0,"others"
"293","DomenicaMita",0,"others"
"294","donatobuc",0,"others"
"295","donlione1",0,"others"
"296","doranapolitano",0,"others"
"297","dp_posta",0,"others"
"298","dragomarzullo",0,"others"
"299","e_cce",0,"others"
"300","EEzio49",0,"others"
"301","Ehizedeffo",0,"others"
"302","ElaCocco",0,"others"
"303","EleGianinetto",0,"others"
"304","elena_genta",0,"others"
"305","Elena140289",0,"others"
"306","ElenaAmista",0,"others"
"307","elenacodeluppi",0,"others"
"308","eligiallorossa",0,"others"
"309","ElioDefrani",0,"others"
"310","elisabettamass3",0,"others"
"311","ElisaPistolesi",0,"others"
"312","eliwilly1",0,"others"
"313","emabelli13",0,"others"
"314","EmanuelaManola",0,"others"
"315","Emergenza20",0,"Volunteer_NGO"
"316","Emergenza24",0,"Volunteer_NGO"
"317","enotecaliguria",0,"others"
"318","enrico_ortolan",0,"others"
"319","enzosauro",0,"others"
"320","er_canaro",0,"others"
"321","ERA_Arenzano",0,"others"
"322","etchisei",0,"others"
"323","ExTimUpperClass",0,"others"
"324","fabioferrero71",0,"others"
"325","FabioMarelli",0,"others"
"326","FabioMelloGrand",0,"others"
"327","FabioSbonch",0,"others"
"328","FabioTolio",0,"others"
"329","FabriBor",0,"others"
"330","fabrimoon",0,"others"
"331","fabriziogaias",0,"others"
"332","fabrizioxt660z",0,"others"
"333","falcorossi1",0,"others"
"334","FeaCoal",0,"others"
"335","FedeDeGiacomo",0,"others"
"336","federica_celin",0,"others"
"337","federicaghiga",0,"others"
"338","FedericoBauMici",0,"others"
"339","federicoorta",0,"others"
"340","fefucchio",0,"others"
"341","Felixia75",0,"others"
"342","ferdinandomore2",0,"others"
"343","FerrLamiaterra",0,"others"
"344","fi_defer",0,"others"
"345","fimianif",0,"others"
"346","fiordisale",0,"others"
"347","FlipRuth",0,"others"
"348","fo1984",0,"others"
"349","foachristian",0,"others"
"350","ForzaCarrara",0,"others"
"351","FPiemontesaRos",0,"others"
"352","fpresot",0,"others"
"353","Fr3nkFra",0,"others"
"354","Fra__Ce",0,"others"
"355","frafra61_rossi",0,"others"
"356","francescosgold",0,"others"
"357","frap1975",0,"others"
"358","frapgborello",0,"others"
"359","freccia_92",0,"others"
"360","freepresspiem",0,"others"
"361","FrncscPltn",0,"others"
"362","frwwin",0,"others"
"363","FSanfilippo71",0,"others"
"364","FScanderebech",0,"others"
"365","FulgenzioB",0,"others"
"366","fullo75",0,"others"
"367","fulvio64",0,"others"
"368","gabrielezagni",0,"others"
"369","Gabrymalvagia",0,"others"
"370","GallinaJack",0,"others"
"371","GandalfilGrigi1",0,"others"
"372","GASirianni",0,"others"
"373","gatta_selvatica",0,"others"
"374","gattongattoni",0,"others"
"375","genesdegenes",0,"others"
"376","geoluc_mei",0,"others"
"377","gherbitz",0,"others"
"378","Giancagt6",0,"others"
"379","GianlucaMiglio",0,"others"
"380","Gianlucard70",0,"others"
"381","gianlucavignale",0,"others"
"382","GianniAllocco",0,"others"
"383","GianniVezzani1",0,"others"
"384","Giov1947",0,"others"
"385","GiovaneArcadia",0,"others"
"386","giovanna_piera",0,"others"
"387","giovanni_papale",0,"others"
"388","GiuseppeACM81",0,"others"
"389","GiuseppeMastro2",0,"others"
"390","gNellerba",0,"Media"
"391","goladaniele",0,"others"
"392","GPoggialini",0,"others"
"393","gradam76",0,"others"
"394","granatafr",0,"others"
"395","grazia_to",0,"others"
"396","GrazianoBeppe",0,"others"
"397","GraziaTardo",0,"others"
"398","Gregnrg",0,"others"
"399","GruppoPDPiem",0,"others"
"400","gtambo63",0,"others"
"401","helena9k",0,"others"
"402","Hiddencatch",0,"others"
"403","iacovit",0,"others"
"404","Iaya68",0,"others"
"405","idrossido",0,"others"
"406","Il__toscano",0,"others"
"407","ilbellini",0,"others"
"408","IleniaMancin",0,"others"
