"","hashtag","freq","cat"
"1","#allertameteopm",675,"Emergency"
"2","#allertameteopie",257,"Emergency"
"3","#maltempo",71,"Weather"
"4","#allertameteolig",59,"Emergency"
"5","#alessandria",40,"Places"
"6","#piemonte",31,"Places"
"7","#verbania",28,"Places"
"8","#allertameteo",23,"Emergency"
"9","#alessandrino",20,"Places"
"10","#gavi",17,"Places"
"11","#viabilità",17,"others"
"12","#po",15,"Places"
"13","#torino",14,"Places"
"14","#meteo",11,"Weather"
"15","#lagomaggiore",9,"Places"
"16","#tanaro",9,"Places"
"17","#vco",9,"Places"
"18","#allertameteolom",8,"Emergency"
"19","#protezionecivile",8,"Institution"
"20","#allertameteopug",7,"Emergency"
"21","#allertameteotos",7,"Emergency"
"22","#cuneo",7,"Places"
"23","#omegna",7,"Places"
"24","#cri",6,"Institution"
"25","#giaveno",6,"Places"
"26","#murazzi",6,"Places"
"27","#ovada",6,"Places"
"28","#bormida",5,"Places"
"29","#protezionecivilecn",5,"Emergency"
"30","#spinettamarengo",5,"Places"
"31","#tortona",5,"Places"
"32","#a7",4,"Mobility"
"33","#allertameteotanaro",4,"Places"
"34","#arpapiemonte",4,"Institution"
"35","#bassoalessandrino",4,"Places"
"36","#garessio",4,"Places"
"37","#genova",4,"Places"
"38","#pioggia",4,"Weather"
"39","#arquatascrivia",3,"Places"
"40","#castelnuovo",3,"Places"
"41","#crescentino",3,"Places"
"42","#italia",3,"Places"
"43","#lemme",3,"Places"
"44","#milano",3,"Places"
"45","#novara",3,"Places"
"46","#novi",3,"Places"
"47","#noviligure",3,"Places"
"48","#orba",3,"Places"
"49","#risknat",3,"Institution"
"50","#st",3,"others"
"51","#stazzano",3,"Places"
"52","#acqua",2,"others"
"53","#allagamento",2,"Emergency"
"54","#allertameteono",2,"Emergency"
"55","#alluvionegenova",2,"Emergency"
"56","#arpa",2,"Institution"
"57","#asti",2,"Places"
"58","#castellaneta",2,"Places"
"59","#centrosud",2,"others"
"60","#cirimilla",2,"Places"
"61","#crocerossa",2,"Institution"
"62","#lerma",2,"Places"
"63","#masone",2,"Places"
"64","#moncalieri",2,"Places"
"65","#mondovì",2,"others"
"66","#nizza",2,"Places"
"67","#ormea",2,"Places"
"68","#pienapo",2,"Emergency"
"69","#predosa",2,"Places"
"70","#primavera",2,"others"
"71","#puglia",2,"Places"
"72","#scuole",2,"others"
"73","#serravalle",2,"Places"
"74","#sfollati",2,"others"
"75","#ss28",2,"Mobility"
"76","#stresa",2,"Places"
"77","#svizzera",2,"Places"
"78","#verbano",2,"Places"
"79","#a26",1,"Mobility"
"80","#acquapotabile",1,"Mobility"
"81","#acqui",1,"Places"
"82","#alelrtameteopie",1,"Emergency"
"83","#allerta",1,"Emergency"
"84","#allerta2",1,"Emergency"
"85","#allertalig",1,"Emergency"
"86","#allertameteobiella",1,"Emergency"
"87","#allertameteolaz",1,"Emergency"
"88","#allertameteopiem",1,"Emergency"
"89","#allertameteoven",1,"Emergency"
"90","#allertametepie",1,"Emergency"
"91","#allertametopie",1,"Emergency"
"92","#allertmeteopie",1,"Emergency"
"93","#alluvione",1,"Emergency"
"94","#alluvionechiavari",1,"Emergency"
"95","#alluvioneliguria",1,"Emergency"
"96","#alluvionepm",1,"Emergency"
"97","#altovergante",1,"Places"
"98","#arginideifiumi",1,"Mobility"
"99","#arona",1,"Places"
"100","#belbo",1,"Places"
"101","#biella",1,"Places"
"102","#biellese",1,"Places"
"103","#boscomarengo",1,"Places"
"104","#brattello",1,"Places"
"105","#brindisi",1,"Places"
"106","#brovello",1,"Places"
"107","#bus",1,"Mobility"
"108","#cannero",1,"Places"
"109","#cantonieri",1,"Institution"
"110","#carpugnino",1,"Places"
"111","#carrara",1,"Places"
"112","#casalbagliano",1,"Places"
"113","#casalcermelli",1,"Places"
"114","#cassano",1,"Places"
"115","#chiavari",1,"Places"
"116","#coazze",1,"Places"
"117","#com8",1,"Emergency"
"118","#dissesto",1,"Emergency"
"119","#fail",1,"others"
"120","#frana",1,"Emergency"
"121","#giornaleprociv",1,"Media"
"122","#golfodianese",1,"Places"
"123","#ilgiornodopo",1,"others"
"124","#ilmeteo",1,"Media"
"125","#lagodorta",1,"Places"
"126","#langhe",1,"Places"
"127","#liguria",1,"Places"
"128","#link",1,"others"
"129","#lovassina",1,"Places"
"130","#malerba",1,"Places"
"131","#meteopiemonte",1,"Places"
"132","#molini",1,"others"
"133","#monserito",1,"Places"
"134","#montecastello",1,"Places"
"135","#neirone",1,"Places"
"136","#news",1,"others"
"137","#nonsenepuòpiù",1,"others"
"138","#ossona",1,"Places"
"139","#paura",1,"others"
"140","#piogge",1,"Weather"
"141","#piovera",1,"Places"
"142","#ponente",1,"others"
"143","#pontremoli",1,"Places"
"144","#provinciaalessandria",1,"Places"
"145","#rain",1,"Weather"
"146","#reano",1,"Places"
"147","#riolovassina",1,"Places"
"148","#rivarone",1,"Places"
"149","#roero",1,"Places"
"150","#roma",1,"Places"
"151","#sancristoforo",1,"Places"
"152","#sangano",1,"Places"
"153","#scrivia",1,"Places"
"154","#scuola",1,"others"
"155","#sesia",1,"Places"
"156","#socialprociv",1,"Emergency"
"157","#sp135",1,"Mobility"
"158","#sp161",1,"Mobility"
"159","#sp35",1,"Mobility"
"160","#squadra17",1,"others"
"161","#ss34",1,"Mobility"
"162","#stateacasa",1,"Emergency"
"163","#stura",1,"Places"
"164","#taranto",1,"Places"
"165","#torrenteagogna",1,"Places"
"166","#toscana",1,"Places"
"167","#trana",1,"others"
"168","#treni",1,"Mobility"
"169","#valgioie",1,"Places"
"170","#valle",1,"others"
"171","#valsangone",1,"Places"
"172","#valsesia",1,"Places"
"173","#vercelli",1,"Places"
"174","#vergante",1,"Places"
"175","#viabilita",1,"Mobility"
"176","#volontari",1,"Emergency"
