"","mentions","freq","cat"
"1","arpapiemonte",31,"Weather"
"2","pcproval",29,"Institution"
"3","quotidianopiem",11,"Media"
"4","eliodefrani",5,"others"
"5","giornaleprociv",4,"Media"
"6","la_stampa",4,NA
"7","capitanachab",3,"others"
"8","caterinadoglio",3,"others"
"9","gianlucamorino",3,"others"
"10","micky_genova",3,"others"
"11","paolopoggio",3,NA
"12","blogalessandria",2,"Media"
"13","crocerossa",2,NA
"14","davidegavi",2,"others"
"15","einaudieditore",2,NA
"16","frabaraghini",2,"others"
"17","pcdi",2,NA
"18","radiogoldal",2,"Media"
"19","tipintown",2,NA
"20","alessandria_ls",1,NA
"21","alessandrianews",1,"Media"
"22","alybio",1,"others"
"23","arfeasrl",1,NA
"24","bobmastrangelo",1,NA
"25","comunedipiovera",1,NA
"26","crpiemonte",1,"Volunteer_NGO"
"27","derthonafbc",1,NA
"28","emergenza24",1,"Volunteer_NGO"
"29","frassannino",1,"others"
"30","furettop",1,NA
"31","gabrielezagni",1,"others"
"32","genovamilano",1,NA
"33","guarene2020",1,"others"
"34","insopportabile",1,"others"
"35","lponzo",1,NA
"36","malidoro",1,NA
"37","mariacaterina4",1,NA
"38","miti_vigliero",1,"others"
"39","paolocolombola7",1,NA
"40","provinciabiella",1,NA
"41","puglia",1,NA
"42","puglia_in",1,NA
"43","qcanavese",1,"Media"
"44","raitv",1,NA
"45","shareaholic",1,NA
"46","telenord",1,NA
"47","_thewitch_",1,"others"
"48","tigella",1,"others"
"49","twtorino",1,NA
"50","valecucinieri",1,"others"
"51","vandasarto",1,"others"
"52","wwwmeteoit",1,"Weather"
"53","youtube",1,NA
