"date","native_tweets","native_retweets","retweet_ratio","Nday_authors","Nday_hash","Nday_mention","Nday_links","Nmean_hashtag","Nmean_mentions","Nmean_words","Nmean_links","Nunique_authors","Nuniq_hash","Nuniq_mention","Nuniq_links","retweetCount","repliesCount","N_favor"
2014-11-03,4,0,0,4,13,0,4,3.25,0,15.75,1,4,9,0,4,25,0,4
2014-11-04,23,0,0,23,61,8,15,2.65,0.3,14.78,0.65,9,26,7,15,61,0,23
2014-11-05,115,0,0,115,323,66,64,2.81,0.42,13.85,0.56,28,76,31,63,289,3,115
2014-11-06,33,0,0,33,59,14,25,1.79,0.36,15.55,0.76,14,16,8,25,46,2,33
2014-11-07,8,0,0,8,16,5,6,2,0.5,15.88,0.75,6,7,5,6,9,0,8
2014-11-08,,,,,,,,,,,,,,,,,,
2014-11-09,65,0,0,65,137,40,31,2.11,0.43,15.46,0.48,30,27,26,29,122,4,65
2014-11-10,224,0,0,224,558,75,153,2.49,0.29,14.45,0.68,70,90,29,139,544,2,224
2014-11-11,52,0,0,52,126,13,39,2.42,0.19,15.27,0.75,30,33,10,39,98,0,52
2014-11-12,17,0,0,17,43,9,13,2.53,0.41,14.29,0.76,9,13,3,12,20,0,17
2014-11-13,3,0,0,3,5,0,3,1.67,0,13.33,1,3,3,0,3,9,0,3
2014-11-14,35,0,0,35,73,22,28,2.09,0.43,14.49,0.8,17,19,15,28,48,3,35
2014-11-15,75,0,0,75,184,28,38,2.45,0.27,14.12,0.51,34,42,12,38,244,0,74
2014-11-16,27,0,0,27,50,11,24,1.85,0.3,14.22,0.89,17,12,6,22,63,0,27
2014-11-17,132,0,0,132,339,49,79,2.57,0.33,14.54,0.6,44,74,25,70,164,1,132
2014-11-18,11,0,0,11,24,3,7,2.18,0.18,14.36,0.64,7,12,3,7,10,1,11
2014-11-19,3,0,0,3,14,1,3,4.67,0.33,14.67,1,3,9,1,3,2,0,3
2014-11-20,,,,,,,,,,,,,,,,,,
2014-11-21,,,,,,,,,,,,,,,,,,
2014-11-22,,,,,,,,,,,,,,,,,,
2014-11-23,,,,,,,,,,,,,,,,,,
2014-11-24,,,,,,,,,,,,,,,,,,
2014-11-25,,,,,,,,,,,,,,,,,,
2014-11-26,1,0,0,1,6,0,1,6,0,17,1,1,6,0,1,0,0,1
2014-11-27,2,0,0,2,9,0,2,4.5,0,15.5,1,1,6,0,2,0,0,2
2014-11-28,4,0,0,4,6,0,2,1.5,0,14.25,0.5,4,2,0,2,5,0,3
2014-11-29,,,,,,,,,,,,,,,,,,
2014-11-30,39,0,0,39,98,11,26,2.51,0.23,14.85,0.67,20,25,11,23,28,3,38
2014-12-01,32,0,0,32,70,9,21,2.19,0.25,13.75,0.66,14,17,6,21,37,1,32
2014-12-02,1,0,0,1,2,0,1,2,0,16,1,1,2,0,1,0,0,1
