"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,1,2,,,1
2014-11-04,20,2,1,,
2014-11-05,68,5,17,2,23
2014-11-06,21,4,4,2,2
2014-11-07,3,1,1,1,2
2014-11-08,,,,,
2014-11-09,26,7,5,4,23
2014-11-10,79,29,38,3,75
2014-11-11,17,12,6,,17
2014-11-12,7,,6,1,3
2014-11-13,,,1,,2
2014-11-14,21,2,4,,8
2014-11-15,34,9,9,2,21
2014-11-16,13,4,5,,5
2014-11-17,55,8,19,5,45
2014-11-18,,,8,,3
2014-11-19,,,1,,2
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-22,,,,,
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,,,,,
2014-11-26,,,1,,
2014-11-27,,,2,,
2014-11-28,,1,1,,2
2014-11-29,,,,,
2014-11-30,18,5,3,,13
2014-12-01,23,4,1,,4
2014-12-02,,,1,,
