"date","Emergency","Places","Outside_Places","Institution","Media","Weather","Mobility","others","Social_Media"
2014-11-03,4,2,0,0,0,7,0,0,0
2014-11-04,24,23,1,2,0,6,7,0,0
2014-11-05,126,124,14,6,0,19,54,2,0
2014-11-06,34,20,1,1,0,1,0,3,0
2014-11-07,8,6,0,0,0,1,0,1,0
2014-11-08,,,,,,,,,
2014-11-09,73,63,11,0,0,1,0,0,0
2014-11-10,257,244,40,2,0,29,21,11,0
2014-11-11,69,45,12,1,1,8,4,2,0
2014-11-12,26,17,1,0,0,7,0,0,0
2014-11-13,4,1,1,0,0,0,0,0,0
2014-11-14,43,22,4,0,0,7,0,1,0
2014-11-15,86,57,7,0,0,25,9,7,0
2014-11-16,28,16,2,0,0,5,0,1,0
2014-11-17,141,159,7,2,0,26,10,2,1
2014-11-18,11,10,0,0,0,3,0,0,0
2014-11-19,7,4,2,1,0,4,0,1,0
2014-11-20,,,,,,,,,
2014-11-21,,,,,,,,,
2014-11-22,,,,,,,,,
2014-11-23,,,,,,,,,
2014-11-24,,,,,,,,,
2014-11-25,,,,,,,,,
2014-11-26,1,4,0,0,0,1,0,0,0
2014-11-27,3,3,0,0,0,1,2,0,0
2014-11-28,6,0,2,0,0,0,0,0,0
2014-11-29,,,,,,,,,
2014-11-30,46,37,3,6,0,9,0,0,0
2014-12-01,39,21,2,0,0,12,1,0,0
2014-12-02,1,1,0,0,0,0,0,0,0
