"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,0,0,0,0,0
2014-11-04,3,0,0,0,0
2014-11-05,28,3,8,3,2
2014-11-06,3,5,0,0,0
2014-11-07,1,1,0,1,1
2014-11-08,,,,,
2014-11-09,10,1,5,2,7
2014-11-10,23,8,14,0,1
2014-11-11,1,2,2,0,0
2014-11-12,4,0,5,0,0
2014-11-13,0,0,0,0,0
2014-11-14,7,5,2,0,1
2014-11-15,12,0,4,0,4
2014-11-16,3,1,2,0,0
2014-11-17,9,3,14,1,2
2014-11-18,0,0,0,1,0
2014-11-19,0,0,1,0,0
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-22,,,,,
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,,,,,
2014-11-26,0,0,0,0,0
2014-11-27,0,0,0,0,0
2014-11-28,0,0,0,0,0
2014-11-29,,,,,
2014-11-30,4,1,2,0,1
2014-12-01,0,1,0,0,0
2014-12-02,0,0,0,0,0
