"","authors","freq","cat"
"1","Miti_Vigliero",1011,"others"
"2","RadioPerusia",487,"Media"
"3","Tweetty84",459,"others"
"4","Ossmeteobargone",394,"Weather"
"5","annabelladellac",339,"others"
"6","genesdegenes",296,"others"
"7","Kottomano",281,"others"
"8","CapitanAchab",235,"others"
"9","AgorLerici",226,"others"
"10","FraBaraghini",205,"others"
"11","Criss76Cristina",190,"others"
"12","Virus1979C",172,"others"
"13","usurana",168,"others"
"14","farmaciaserrage",165,"others"
"15","gio1893",156,"others"
"16","Annathelion",149,"others"
"17","primocanale",148,"Media"
"18","paola_faravelli",144,"others"
"19","Quezzimeteo",131,"Weather"
"20","ERA_Arenzano",126,"others"
"21","Meteolanterna",125,"Weather"
"22","steffy1967",124,"others"
"23","Giancagt6",121,"others"
"24","salatina67",117,"others"
"25","andreaagostinia",113,"others"
"26","StaserasolounTG",105,"others"
"27","Robbetta",103,"others"
"28","mvilla84",101,"others"
"29","federicaghiga",100,"others"
"30","cristianobosco",99,"others"
"31","ansa_liguria",98,"Media"
"32","micky_genova",98,"others"
"33","Emergenza24",97,"Volunteer_NGO"
"34","marinamyname",97,"others"
"35","fiordisale",96,"others"
"36","geoluc_mei",91,"others"
"37","FuscoVale",88,"others"
"38","fo1984",84,"others"
"39","twandreazara",84,"others"
"40","SML2020",83,"Media"
"41","danielecina",82,"others"
"42","LuxGandi",80,"others"
"43","meteogequinto",80,"Weather"
"44","Trenetta",79,"others"
"45","3BMeteo",76,"Weather"
"46","Ritzrove",74,"others"
"47","saramadlud",73,"others"
"48","strofuggi",72,"others"
"49","EneriEmrap",71,"others"
"50","RadioBabboleo",70,"Media"
"51","iogenovese",69,"others"
"52","Nerys__",68,"others"
"53","ColomoLoriana",67,"others"
"54","kirsypu",67,"others"
"55","AllertaMeteoLIG",65,"Weather"
"56","GraziaTardo",65,"others"
"57","patrizia6119",65,"others"
"58","Alesmacc",63,"others"
"59","FurettoP",63,"others"
"60","massimodonelli",63,"others"
"61","robertore62",62,"others"
"62","zarquonit",62,"others"
"63","GASirianni",60,"others"
"64","Genova4Tourist",60,"Media"
"65","berlinste",59,"others"
"66","ComunediGenova",57,"Institution"
"67","ITnewsGE",57,"Media"
"68","dexmac221",56,"others"
"69","DicrescenzoG",56,"others"
"70","sirgolly",55,"others"
"71","agente00fette1",54,"others"
"72","La_Rouge_DOC",52,"others"
"73","LucianaCiolfi",52,"others"
"74","Miss_S_Fletcher",52,"others"
"75","amistagenova",51,"others"
"76","FedeleAmico",51,"others"
"77","gabrisorrenti",51,"others"
"78","karuso",51,"others"
"79","MaraLupano",51,"others"
"80","raffaellapaita",51,"Institution"
"81","EIngrassia",50,"others"
"82","LyliusBea",48,"others"
"83","MissPerspy",48,"others"
"84","riskiomap",48,"Weather"
"85","rptmtt",48,"others"
"86","Silvia_Moggia",48,"others"
"87","ValentinaEve",48,"others"
"88","cavigliad",47,"others"
"89","EttaLisetta",47,"others"
"90","LIngles_",47,"others"
"91","Rain_1982",47,"others"
"92","RibesReby",47,"others"
"93","_garibaldi_",46,"others"
"94","RomyHellas",46,"others"
"95","ValeriaTomei75",46,"others"
"96","aliceborutti",45,"others"
"97","dileguossi",45,"others"
"98","marcokanobelj",45,"others"
"99","massy1176",45,"others"
"100","pinopitto",45,"others"
"101","0Zenzy",44,"others"
"102","anna_dtt",44,"others"
"103","FeaCoal",42,"others"
"104","giornaleprociv",42,"Media"
"105","poldo_stop",42,"others"
"106","ProtCivileGE",42,"Institution"
"107","ValerioBarbini",42,"others"
"108","AllertaMeteoIT",41,"Weather"
"109","DettoBene",41,"others"
"110","Edorepe93",41,"others"
"111","PerilPonente",41,"others"
"112","Sim0wrc",41,"others"
"113","Ila_G_",40,"others"
"114","Marinamas",40,"others"
"115","mariagraziaber7",39,"others"
"116","gherbitz",38,"others"
"117","JESSICANICOLINI",38,"others"
"118","Namitally",38,"others"
"119","oneto81",38,"others"
"120","gentiledavide",37,"others"
"121","PGambetti",37,"others"
"122","Andreauakari",36,"others"
"123","angelatanania",36,"others"
"124","arcadiacoopsoc",36,"others"
"125","arcadiacss",36,"others"
"126","dieentropie",36,"others"
"127","francescabales1",36,"others"
"128","genova24it",36,"Media"
"129","GianniVezzani1",36,"others"
"130","lpasquarelli010",36,"others"
"131","poisonanguem",36,"others"
"132","Serfiss",36,"others"
"133","cisomgenova",35,"Volunteer_NGO"
"134","fra_marchese",35,"others"
"135","LorenziTania",35,"others"
"136","ninuzzo66",35,"others"
"137","pennadireve",35,"others"
"138","saradeska",35,"others"
"139","danife75",34,"others"
"140","muoversintoscan",34,"Institution"
"141","Protcivnews",34,"Media"
"142","robyeauri",34,"others"
"143","sulsitodisimone",34,"others"
"144","gatta_selvatica",33,"others"
"145","Lequazione",33,"others"
"146","meobirba",33,"others"
"147","paoloigna1",33,"others"
"148","ugotruffelli",33,"others"
"149","MatteCarlino",32,"others"
"150","utoepia",32,"others"
"151","giancox",31,"others"
"152","MoniShantiRani",31,"others"
"153","mprevell",31,"others"
"154","SimonaBellarmin",31,"others"
"155","alecavo",30,"others"
"156","bagnivirginia",30,"others"
"157","GabrimoG",30,"others"
"158","pianetagenoa",30,"Media"
"159","stefaniaimperat",30,"others"
"160","tikkunfenix_ceo",30,"others"
"161","angybert7",29,"others"
"162","aranciaverde",29,"others"
"163","bc_emergenza",29,"Volunteer_NGO"
"164","DavideMazzarell",29,"others"
"165","EffimeraAlkimia",29,"others"
"166","Fagemma",29,"others"
"167","giovaniliguria",29,"Institution"
"168","MammeMatte",29,"others"
"169","torillo59",29,"others"
"170","ZeloAssoluto",29,"others"
"171","Fabiotto67",28,"others"
"172","LucaNatale70",28,"others"
"173","matteapollo82",28,"others"
"174","sergimagugliani",28,"others"
"175","adeven",27,"others"
"176","ansa_lombardia",27,"Media"
"177","bacci7_bacci",27,"others"
"178","Blu_391",27,"others"
"179","bobmcgreghy",27,"others"
"180","emerge67",27,"others"
"181","GiusiEnzo",27,"others"
"182","ninniciola",27,"others"
"183","edosala8",26,"others"
"184","ErmannoKilgore",26,"others"
"185","GianlucaGarro",26,"others"
"186","gianlucamorino",26,"others"
"187","LucaColucci1",26,"others"
"188","MariniRiccardo",26,"others"
"189","stefanobarabino",26,"others"
"190","valeriav78",26,"others"
"191","ValerioCalvelli",26,"others"
"192","539th",25,"others"
"193","Anpasnazionale",25,"Volunteer_NGO"
"194","AntonioFantastk",25,"others"
"195","ilariolarosageo",25,"others"
"196","MatroneElisabet",25,"others"
"197","annaBusca",24,"others"
"198","annalcontrario",24,"others"
"199","AnnalisaOrsi",24,"others"
"200","danielaquartu",24,"others"
"201","gillomarco",24,"others"
"202","lesherbes",24,"others"
"203","manu160975",24,"others"
"204","meteospeziacom",24,"Weather"
"205","tigella",24,"others"
"206","cetty80tina",23,"others"
"207","civisromanusTW",23,"others"
"208","Fede_Descalzo",23,"others"
"209","JackGrifo",23,"others"
"210","morettons",23,"others"
"211","pasqu85",23,"others"
"212","regis_andrea",23,"others"
"213","Tavellik",23,"others"
"214","valenitna",23,"others"
"215","_MarcoSalaris",22,"others"
"216","000120o",22,"others"
"217","1lupogrigio",22,"others"
"218","BarbaraMasia",22,"others"
"219","fagia84",22,"others"
"220","gabrielezagni",22,"others"
"221","LucaLukaszek88",22,"others"
"222","silvianalon",22,"others"
"223","sydlsd",22,"others"
"224","wwwmeteoit",22,"Weather"
"225","AlbengaCorsara",21,"others"
"226","AleVillarmonte",21,"others"
"227","aperru1",21,"others"
"228","LabterTigullio",21,"others"
"229","marcodonatiello",21,"others"
"230","MaybeVe",21,"others"
"231","s__Mira__s",21,"others"
"232","sara_pg73",21,"others"
"233","stefylana",21,"others"
"234","VilmaBerta17",21,"others"
"235","AutoconAutista",20,"others"
"236","classmeteo",20,"Weather"
"237","condorbox",20,"others"
"238","DanieleKeshk",20,"others"
"239","doranapolitano",20,"others"
"240","eziovalerio",20,"others"
"241","FerrLamiaterra",20,"others"
"242","frwwin",20,"others"
"243","luca_bruna",20,"others"
"244","LuisaGuidotti",20,"others"
"245","matanzas2011",20,"others"
"246","Millazena",20,"others"
"247","nureldin",20,"others"
"248","Valerick5",20,"others"
"249","ClaudiaFiori72",19,"others"
"250","crisb2015",19,"others"
"251","donatobuc",19,"others"
"252","laions1979",19,"others"
"253","LevanteNews_ITA",19,"Media"
"254","paolopaterno",19,"others"
"255","Romy_Effe",19,"others"
"256","simorega",19,"others"
"257","tanjustice8",19,"others"
"258","ARoccaBonini",18,"others"
"259","CavatortiA",18,"others"
"260","fabioferrero71",18,"others"
"261","fedeshots",18,"others"
"262","flator74",18,"others"
"263","Idrobussetti",18,"others"
"264","ilPFmax",18,"others"
"265","JejoMargot",18,"others"
"266","LaMangina",18,"others"
"267","maxwellego",18,"others"
"268","namarte15",18,"others"
