"","authors","freq","cat"
"1","muoversintoscan",298,"Institution"
"2","flash_meteo",50,"Weather"
"3","iltirreno",38,"Media"
"4","cesipcrosignano",30,"Institution"
"5","Prov_FI_PC",16,"Institution"
"6","toscanamedianew",16,"Media"
"7","landucci_v",13,"others"
"8","turiniale",13,"others"
"9","3BMeteo",12,"Weather"
"10","ProCivSeravezza",12,"Institution"
"11","Protcivnews",12,"Media"
"12","ProtCMontignoso",12,"Institution"
"13","amtoscana",11,"Weather"
"14","CapitanAchab",11,"others"
"15","elisabettagio10",11,"others"
"16","misepferraio",11,"Volunteer_NGO"
"17","giornaleprociv",10,"Media"
"18","agenziaimpress",9,"Media"
"19","CostantiniGenny",9,"others"
"20","cristianomeoni",9,"others"
"21","m_nanny",9,"others"
"22","qn_lanazione",9,"Media"
"23","Ba_Bars",8,"others"
"24","ComuneRosignano",8,"Institution"
"25","ilariolarosageo",8,"others"
"26","Miti_Vigliero",8,"others"
"27","ValenCaffieri",8,"others"
"28","pratosmart",7,"others"
"29","valenitna",7,"others"
"30","Anpasnazionale",6,"Volunteer_NGO"
"31","wwwmeteoit",6,"Weather"
"32","CastelloNews",5,"Media"
"33","ComuneRioElba",5,"Institution"
"34","GasperiniLuca",5,"others"
"35","giaguaro73",5,"others"
"36","lapaginaQ",5,"Media"
"37","AllertaMeteoLIG",4,"Weather"
"38","Comune_Pistoia",4,"Institution"
"39","ComuneCamaiore",4,"Institution"
"40","DarioBallini",4,"others"
"41","mimidef",4,"others"
"42","Ossmeteobargone",4,"Weather"
"43","ProCivComunePi",4,"Institution"
"44","AlfredoFaetti",3,"others"
"45","AllertaMeteoIT",3,"Weather"
"46","ClaVecoli",3,"others"
"47","elbameteo",3,"Weather"
"48","fbrancoli",3,"others"
"49","FrancescaNacini",3,"others"
"50","francescanasec",3,"others"
"51","IlTirrenoElba",3,"Media"
"52","IlTirrenoPrato",3,"Media"
"53","marcostefanilu",3,"others"
"54","MiseCampi",3,"Volunteer_NGO"
"55","montevarchi",3,"Institution"
"56","riskiomap",3,"others"
"57","Toscana24News",3,"Media"
"58","caleochi",2,"others"
"59","crisangiovanni",2,"Volunteer_NGO"
"60","dariocafiero2",2,"others"
"61","GAIB1983",2,"others"
"62","gardenrosesSB",2,"others"
"63","jeperego",2,"others"
"64","Lonnivora",2,"others"
"65","LucaLombroso",2,"Weather"
"66","lucialivatino",2,"others"
"67","MeucciLaNazione",2,"others"
"68","Prociv_Mont",2,"Institution"
"69","QuiNewsVolterra",2,"Media"
"70","ReteMeteoAmator",2,"Weather"
"71","rondyne",2,"others"
"72","rossipresidente",2,"Institution"
"73","speziapolis",2,"others"
"74","Taglions",2,"others"
"75","TTNews24",2,"Media"
"76","YouReporter",2,"Media"
"77","_laurina",1,"others"
"78","1marcoo",1,"others"
"79","ale_iorfida",1,"others"
"80","AlessioArge",1,"others"
"81","alf_crisci",1,"others"
"82","anbarone",1,"others"
"83","andlazz",1,"others"
"84","angelatanania",1,"others"
"85","articoo",1,"others"
"86","BeatrixKiddoD",1,"others"
"87","Bluelake76",1,"others"
"88","Bluelba",1,"others"
"89","bogazzi",1,"others"
"90","camerafreckles",1,"others"
"91","chiaramer",1,"others"
"92","chiorazzo",1,"others"
"93","cicamuibonita",1,"others"
"94","CiclistaPercaso",1,"others"
"95","Cinziamas",1,"others"
"96","classmeteo",1,"Weather"
"97","columdonnelly",1,"others"
"98","ComunediPelago",1,"Institution"
"99","comunefi",1,"Institution"
"100","ConsorziUrbat",1,"Institution"
"101","ContattoRadio",1,"Media"
"102","controradio",1,"Media"
"103","corrierefirenze",1,"Media"
"104","DavidBiuzzi",1,"others"
"105","federicaghiga",1,"others"
"106","FirenzePost",1,"Media"
"107","Fontax91",1,"others"
"108","France_Tirreno",1,"others"
"109","francepicci",1,"others"
"110","francescatao",1,"others"
"111","Gabrigc02",1,"others"
"112","GCiappelli",1,"others"
"113","GiulianFaggio",1,"others"
"114","gonews_it",1,"Media"
"115","guarducciale",1,"others"
"116","H24valdicecina",1,"Institution"
"117","Holiday_lopez",1,"others"
"118","IlariaBonuccell",1,"others"
"119","ilGiunco",1,"Media"
"120","IlTirrenoPisa",1,"Media"
"121","indice_italiano",1,"others"
"122","Italia_Social",1,"others"
"123","ItConti",1,"others"
"124","JeMalaussene",1,"others"
"125","LaValdichiana",1,"Media"
"126","Lecchinimichele",1,"others"
"127","luca_centini",1,"others"
"128","LucaFilippi5",1,"others"
"129","LucaGattuso",1,"others"
"130","MaeyCat",1,"others"
"131","maremmanews",1,"Media"
"132","mariameini",1,"others"
"133","Marinamas",1,"others"
"134","marziofatucchi",1,"others"
"135","massimobraglia2",1,"others"
"136","MatteoBernabe",1,"others"
"137","melisa_dicicco",1,"others"
"138","MeloniSimone",1,"others"
"139","MeteoPortaleITA",1,"Weather"
"140","MeteoTweet24",1,"Weather"
"141","MicheledAlena",1,"others"
"142","mikymor81",1,"others"
"143","MisEmpoli",1,"Volunteer_NGO"
"144","muttleysvers",1,"others"
"145","Palitorale",1,"others"
"146","PASiena",1,"Volunteer_NGO"
"147","pasquimaenza",1,"others"
"148","patcave",1,"others"
"149","pianinif",1,"others"
"150","PisaToday",1,"Media"
"151","ProtCivileCG",1,"Institution"
"152","ProvinciaMS",1,"Institution"
"153","PubAssSigna",1,"Volunteer_NGO"
"154","purpleleni",1,"others"
"155","QuiGrosseto",1,"Media"
"156","RiccardaBezzi",1,"others"
"157","RoccoLuigi55",1,"others"
"158","romaneapolis",1,"others"
"159","sange77",1,"others"
"160","Scenaricca",1,"others"
"161","SerenaGiacomin",1,"others"
"162","SimoneStefanins",1,"others"
"163","SML2020",1,"others"
"164","TirrenoLivorno",1,"Media"
"165","TirrenoProvPisa",1,"Media"
"166","TirrenoVersilia",1,"Media"
"167","toscananotizie",1,"Media"
"168","Transamerika90",1,"others"
"169","treluci",1,"others"
"170","Tweetty84",1,"others"
"171","Viviana_Ricci",1,"others"
"172","xetibor",1,"others"
"173","_Doosan",0,"others"
"174","_garibaldi_",0,"others"
"175","_JoeT11",0,"others"
"176","0Zenzy",0,"others"
"177","171822elFranca",0,"others"
"178","321ciao",0,"others"
"179","50canalenews",0,"Media"
"180","62rosse",0,"others"
"181","7sofficisoffi",0,"others"
"182","a_giannatta",0,"others"
"183","aa_foresee",0,"others"
"184","AbbadiaNews",0,"Media"
"185","AbsitIV",0,"others"
"186","abunabuana",0,"others"
"187","AdePisano",0,"others"
"188","AdyAzza",0,"others"
"189","agente00fette1",0,"others"
"190","AgorLerici",0,"others"
"191","Aiannuzzi",0,"others"
"192","aiazzi71",0,"others"
"193","aila980",0,"others"
"194","alberto79",0,"others"
"195","Ale_DiLuzio",0,"others"
"196","alemaggiani",0,"others"
"197","alemassimo00",0,"others"
"198","AlessandraDiara",0,"others"
"199","Alessandro2912",0,"others"
"200","alexbart81",0,"others"
"201","alexgiamby",0,"others"
"202","AlfredoBertagna",0,"others"
"203","Alicedistillata",0,"others"
"204","alina_szecsodi",0,"others"
"205","AMatraia",0,"others"
"206","ameliacarlevaro",0,"others"
"207","amiatanews",0,"Media"
"208","AMISinfo",0,"others"
"209","And_CL",0,"others"
"210","andrea2007nanni",0,"others"
"211","AndreaSkeeter",0,"others"
"212","ANDREAZANETTIN",0,"others"
"213","angeladileo2013",0,"others"
"214","ANGELOCONCAS1",0,"others"
"215","anna_dtt",0,"others"
"216","annabelladellac",0,"others"
"217","AnnaBernacchiRo",0,"others"
"218","Annathelion",0,"others"
"219","AnpasToscana",0,"Volunteer_NGO"
"220","ansa_lazio",0,"Media"
"221","ansa_liguria",0,"Media"
"222","ansa_lombardia",0,"Media"
"223","ansa_marche",0,"Media"
"224","antgentile",0,"others"
"225","antimo23574",0,"others"
"226","AntoDiMario",0,"others"
"227","antonellavagli3",0,"others"
"228","AntonSessa",0,"others"
"229","antosupersport",0,"others"
"230","apock",0,"others"
"231","aranciaverde",0,"others"
"232","ariannafaenzi",0,"others"
"233","arielmilly",0,"others"
"234","armido",0,"others"
"235","ARoccaBonini",0,"others"
"236","AronneA",0,"others"
"237","arredi_sardi",0,"others"
"238","ArrigoPierotti",0,"others"
"239","aruspices2003",0,"others"
"240","ascapuzzi",0,"others"
"241","ascenzapisoni",0,"others"
"242","asquirix",0,"others"
"243","AssaporAparma",0,"others"
"244","AuroraBigoni",0,"others"
"245","avvelenato1970",0,"others"
"246","azzurrab1976",0,"others"
"247","B_Chelli",0,"others"
"248","BaboniFrancesca",0,"others"
"249","bacci7_bacci",0,"others"
"250","BaldiDario",0,"others"
"251","Baldinix",0,"others"
"252","bardidonata",0,"others"
"253","battasilvia",0,"others"
"254","bc_emergenza",0,"Volunteer_NGO"
"255","beppe1965",0,"others"
"256","berlinste",0,"others"
"257","BestVersilia",0,"others"
"258","Betazoide",0,"others"
"259","betty_castelli",0,"others"
"260","biciversilia",0,"others"
"261","binoshiro",0,"others"
