"","hashtag","freq","cat"
"1","#allertameteoTOS",917,"others"
"2","#Toscana",147,"Places"
"3","#Carrara",90,"Places"
"4","#Pisa",53,"Places"
"5","#maltempo",49,"Weather"
"6","#allertameteoLIG",45,"Emergency"
"7","#pioggia",43,"Weather"
"8","#Elba",31,"Places"
"9","#Versilia",25,"Places"
"10","#Maltempo",24,"Weather"
"11","#viabiliTOS",24,"Mobility"
"12","#Livorno",23,"Places"
"13","#Massa",20,"Places"
"14","#Firenze",19,"Places"
"15","#carrara",15,"Places"
"16","#versilia",14,"Places"
"17","#Maremma",13,"Places"
"18","#meteo",13,"Weather"
"19","#Montignoso",13,"Places"
"20","#Serchio",12,"Places"
"21","#Aulla",11,"Places"
"22","#isoladelba",11,"Places"
"23","#Portoferraio",11,"Places"
"24","#Grosseto",10,"Places"
"25","#Prato",10,"Places"
"26","#Seravezza",10,"Places"
"27","#allertameteo",9,"Emergency"
"28","#Chiavari",9,"Places"
"29","#Lucca",9,"Places"
"30","#A2",8,"Emergency"
"31","#Genova",8,"Places"
"32","#pendolaritoscana",8,"Mobility"
"33","#Carrione",7,"Places"
"34","#Cisa",7,"Mobility"
"35","#Lunigiana",7,"Places"
"36","#Pistoia",7,"Places"
"37","#Pontremoli",7,"Places"
"38","#prato",7,"Places"
"39","#pratopioggia",7,"Places"
"40","#temporali",7,"Weather"
"41","#vento",7,"Weather"
"42","#A1",6,"Mobility"
"43","#A12",6,"Mobility"
"44","#alluvioneCarrara",6,"Emergency"
"45","#Cecina",6,"Places"
"46","#Cornia",6,"Places"
"47","#FiPiLi",6,"Mobility"
"48","#Liguria",6,"Places"
"49","#toscana",6,"Places"
"50","#Venturina",6,"Places"
"51","#vigilanzameteoTOS",6,"Emergency"
"52","#alluvione",5,"Emergency"
"53","#Aurelia",5,"Mobility"
"54","#CFR",5,"Institution"
"55","#Follonica",5,"Places"
"56","#massa",5,"Places"
"57","#MassaMarittima",5,"Places"
"58","#Quercianella",5,"Places"
"59","#SS1",5,"Mobility"
"60","#SS62",5,"Mobility"
"61","#trenitalia",5,"Institution"
"62","#Vecchiano",5,"Places"
"63","#Zeri",5,"Places"
"64","#CARRARA",4,"Places"
"65","#follonica",4,"Places"
"66","#Monterotondo",4,"Places"
"67","#Orbetello",4,"Places"
"68","#portoferraio",4,"Places"
"69","#protezionecivile",4,"Emergency"
"70","#Rosignano",4,"Places"
"71","#Sarzana",4,"Places"
"72","#SS63",4,"Mobility"
"73","#AllertaMeteoLIG",3,"Emergency"
"74","#allertameteoPM",3,"Emergency"
"75","#Arno",3,"Places"
"76","#Capalbio",3,"Places"
"77","#carrione",3,"Places"
"78","#Castelfiorentino",3,"Places"
"79","#Cerreto",3,"Places"
"80","#elba",3,"Places"
"81","#fipili",3,"Mobility"
"82","#FIPILI",3,"Mobility"
"83","#Manciano",3,"Places"
"84","#maremma",3,"Places"
"85","#Piombino",3,"Places"
"86","#RioMarina",3,"Places"
"87","#scuole",3,"others"
"88","#SS432",3,"Mobility"
"89","#zonarossa",3,"Emergency"
"90","#A11",2,"Mobility"
"91","#allagamenti",2,"Emergency"
"92","#allagamentiElba",2,"Emergency"
"93","#AllagamentiElba",2,"Emergency"
"94","#allertameteoER",2,"Emergency"
"95","#Alluvione",2,"Emergency"
"96","#alluvionecarrara",2,"Emergency"
"97","#Amiata",2,"Places"
"98","#Arezzo",2,"Places"
"99","#Bratto",2,"Places"
"100","#CampiBisenzio",2,"Places"
"101","#Ceprano",2,"Places"
"102","#Chiusi",2,"Places"
"103","#Corsica",2,"Places"
"104","#Criticità",2,"others"
"105","#crowdsourcing",2,"others"
"106","#elbaallagata",2,"Emergency"
"107","#Equi",2,"Places"
"108","#Fivizzano",2,"Places"
