"","mentions","freq","cat"
"1","provinciams",54,"Institution"
"2","iltirreno",34,"Media"
"3","flash_meteo",26,"Weather"
"4","provinciagr",25,NA
"5","provincia_lucca",23,NA
"6","comunefi",10,"Institution"
"7","arezzoprovincia",9,NA
"8","muoversintoscan",8,"Institution"
"9","comunerioelba",7,"Institution"
"10","comunelivorno",6,NA
"11","comune_sgt",6,NA
"12","rossipresidente",6,"Institution"
"13","pisainforma",5,NA
"14","provinciapisa",5,NA
"15","comuneorbetello",4,"Institution"
"16","salaop",4,"Institution"
"17","giornaleprociv",3,"Media"
"18","misepferraio",3,"Volunteer_NGO"
"19","tirrenoversilia",3,"Media"
"20","toscananotizie",3,"Media"
"21","50canalenews",2,"Media"
"22","anpastoscana",2,"Volunteer_NGO"
"23","ansatoscana",2,NA
"24","bluelba",2,"others"
"25","capitanachab",2,"others"
"26","castelnuovom",2,NA
"27","cesipcrosignano",2,"Institution"
"28","comuneempoli",2,"Institution"
"29","comunemontelupo",2,"Institution"
"30","giovannamezzana",2,"others"
"31","ilgiunco",2,"Media"
"32","noitv",2,"Media"
"33","procivseravezza",2,"Institution"
"34","protcivcomunefi",2,"Institution"
"35","protcivnews",2,"Media"
"36","protcmontignoso",2,"Institution"
"37","provincialivorn",2,NA
"38","rainews",2,NA
"39","sindacoaulla",2,"Institution"
"40","valencaffieri",2,"others"
"41","wwwmeteoit",2,"Weather"
"42","youreporter",2,"Media"
"43","3bmeteo",1,"Weather"
"44","acquespa",1,NA
"45","agorarai",1,NA
"46","allertameteoit",1,"Weather"
"47","amtoscana",1,"Weather"
"48","andreaciumei",1,NA
"49","andrea_ciumei",1,NA
"50","anpascecina",1,NA
"51","anpasnazionale",1,"Volunteer_NGO"
"52","ba_bars",1,"others"
"53","bluenod",1,NA
"54","caputliberum",1,NA
"55","cciss_ministero",1,NA
"56","cesarebm",1,NA
"57","comunedivernio",1,NA
"58","comunegrosseto",1,NA
"59","comunemarciana",1,NA
"60","comunepiombino",1,NA
"61","comuneportoferr",1,NA
"62","comunescansano",1,NA
"63","criliguria",1,NA
"64","darioballini",1,"others"
"65","deldottosindaco",1,"others"
"66","emergenza24",1,"Volunteer_NGO"
"67","erasmodangelis",1,"others"
"68","flash_meteoallertameteotos",1,NA
"69","flavio_mfm",1,NA
"70","fsnews_it",1,NA
"71","gonews_it",1,"Media"
"72","igportoferraio",1,"others"
"73","ilmanifesto",1,NA
"74","iltirrenopisa",1,"Media"
"75","iltirrenoprato",1,"Media"
"76","indivanados",1,NA
"77","_juhan",1,NA
"78","lacona",1,NA
"79","lambardilorenzo",1,"others"
"80","liguriameteo",1,NA
"81","lucialivatino",1,"others"
"82","_marcorovelli_",1,NA
"83","marinadicampo",1,NA
"84","matdepaoli",1,NA
"85","melonisimone",1,"others"
"86","meteopisa",1,NA
"87","meteoweb_eu",1,NA
"88","misericordie1",1,"Volunteer_NGO"
"89","misetoscana",1,NA
"90","monica_paffetti",1,NA
"91","notiziediprato",1,NA
"92","piananotizie",1,NA
"93","pisaconnection",1,NA
"94","pontremoli",1,NA
"95","portoazzurroapp",1,NA
"96","primocanale",1,NA
"97","prov_fi_pc",1,"Institution"
"98","provinciamsallertameteotos",1,NA
"99","provincia_prato",1,NA
"100","qn_lanazione",1,"Media"
"101","radiotoscana",1,NA
"102","radiotoscanaweb",1,NA
"103","rep_firenze",1,NA
"104","retenergie",1,NA
"105","rinobucci",1,"others"
"106","rosaliaaversa",1,NA
"107","rtl1025",1,NA
"108","ruggerobarbetti",1,NA
"109","sienafree",1,NA
"110","spreaker",1,NA
"111","spviadalcarbone",1,NA
"112","tgla7",1,NA
"113","tigella",1,NA
"114","tirrenoprovpisa",1,"Media"
"115","toscanamedianew",1,"Media"
"116","tvprato",1,NA
"117","vabcollinemedic",1,"others"
"118","vabprato",1,NA
"119","valenitna",1,"others"
"120","vivigrosseto",1,NA
