"category","NfreqLIG","N_uniqueLIG","NfreqTOS","N_uniqueTOS","NfreqPIE","N_uniquePIE"
"Emergency","7266","301","1047","92","1070","105"
"Institution","149","105","21","12","32","22"
"Media","54","35","1","1","2","2"
"Mobility","77","51","108","45","16","12"
"others","605","455","31","31","44","24"
"Outside_Places","361","113","110","55","122","59"
"Places","3528","769","890","304","373","176"
"Social_Media","8","6","1","1",NA,NA
"Time","6","6",NA,NA,NA,NA
"Weather","454","104","172","64","89","23"
