Period,Channel,start_date,end_date
all,allertameteoLIG,2014-11-03,2014-12-02
all,allertameteoTOS,2014-11-03,2014-12-02
all,allertameteoPIE,2014-11-03,2014-12-02
A,allertameteoLIG,2014-11-03,2014-11-06
A,allertameteoTOS,2014-11-03,2014-11-06
A,allertameteoPIE,2014-11-03,2014-11-06
B,allertameteoLIG,2014-11-09,2014-11-13
B,allertameteoTOS,2014-11-09,2014-11-13
B,allertameteoPIE,2014-11-09,2014-11-13
C,allertameteoLIG,2014-11-15,2014-11-19
C,allertameteoTOS,2014-11-15,2014-11-19
C,allertameteoPIE,2014-11-15,2014-11-19
Atop,allertameteoLIG,2014-11-04,2014-11-04
Btop,allertameteoLIG,2014-11-10,2014-11-10
Ctop,allertameteoLIG,2014-11-15,2014-11-15
Atop,allertameteoTOS,2014-11-05,2014-11-05
Btop,allertameteoTOS,2014-11-10,2014-11-10
Ctop,allertameteoTOS,2014-11-17,2014-11-17
Atop,allertameteoPIE,2014-11-04,2014-11-04
Btop,allertameteoPIE,2014-11-11,2014-11-11
Ctop,allertameteoPIE,2014-11-15,2014-11-15
